Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
INCIPIT LIBER EUTI/GRAMMAT(I)CI CI/DE UERBO,,,++++/de uer[bo] ++++/nus contextor ,,,2r,0,,C,T3,P1 en haut à droite,F4,S523,,"contextio, weaving (also fig. of other structures), construction [saec. iv on.]. contextor, compiler (Cop. Theod. 1. 1. 6. 2). contextus (pple as adj.), consecutive // Forcellini :demendi supervacanea, et adjiciendi necessaria, et mutandi ambigua, et emendandi incongrua tribuimus potestatem",
cum semper,semper,,,s cũ frequentia,scilicet cum frequentia,2r,1,a,B,T2,P0,F3,S22,,"*cum superfluitate, cum est superflu ?",
noues quaestiones,quaestiones,,,novẽ int̃rogaciones,noues interogationes,2r,1,b,B,T2,P0,F3,S22,,,
doctorib;,doctoribus,,,p̃ce++++++,preceptoribus,2r,1,c,A,T1,P0,F2,S22,,,Preceptor. doctor ł magifter
auditorum,,,,iđ discipulorũ,id est discipulorum,2r ,2,a,A,T1,P0,F2,S22,,*+ adiutorum ?,
acutiora,,,,perspicatiora,,2r,2,b,A,T1,P0,F2,S22,,,
mouere ,,,,reperire et excitare ,,2r,2,c,B,T2,P0,F2,S22,,*Bible ? Tentationes ? ,
soleant,,,,in queareniã honari?,,2r,2,d,A,T1,P0,F3,S22 ?,,,
curiositas,,,,qͣsi sollicitudo,quasi sollicitudo,2r,3,a,B,T2,P0,F2,S22,,,
familiaris,,,,ĩ specialit̃ ⁊ ꝓprie aderens,id est specialiter et propriae adherens,2r,3,b,B,T2,P0,F4,S23,,,
familiaris,,,ĩ afinis & cognata,,id est afinis et cognata,2r,3,c,C,T3,P0,F4,S22,,,
cotidie,,,,s̃ hominis ?dãƀrũ operis,scilicet hominis ++ operis ,2r,4,a,B,T2,P0,F4,S23,,,
desiderat,,,,cupit,,2r,4,b,B,T2,P0,F2,S22,,,
recens,,,,nouit(er),,2r,4,c,A,T1,P0,F2,S22,,,
iure,,,,recte ,recte ,2r,6,a,A,T1,P0,F2,S22,,,
iure,,,,adũ locũ qualitatis,,2r,6,b,B,T2,P0,F3,?,,,
imponi,,,,suꝑponi immitti,superponi immitti,2r,6,c,B,T2,P0,F2,S22,,,
diligentissime ,,,,dilectissima,dilectissima,2r,7,a,B,T2,P0,F2,S22,,,
Cratere,,,,nom̃ ꝓpͥũ,nomen proprium,2r,7,b,A,T1,P0,F3,S553,,,
facundia,,,,iđ doctrina ,idest doctrina ,2r,8,a,A,T1,P0,F3,S22,,,
facundia,,,,eloquentia,,2r,8,b,B,T2,P0,F2,S22,,,
facundia,,,facundu᷑ uocit᷑ eo qđ facile fari/potest. for faris inde facundia.,,facundum uocitur eo quod facile fari potest for faris inde facundia,2r,8,,C,T3,P1 right,F4,S54,,,
equiperante,,,,coęquantẽ,coaequantem,2r,8,,B,T2,P0,F2,S22,,,
excellentes,,,,presũt ĩgentes,praesunt ingentes,2r,9,,A,T1,P0,F3,S22,,,
gaudebam ,,,,lętabar,laetabar,2r,10,a,B,T2,P0,F2,S22,,,
doctrina,,,,eloquentia,,2r,10,b,B,T2,P0,F2,S22,,,
superauisse,,,,suꝑ orauisse,super orauisse,2r,10,c,B,T2,P0,F3,S54,,,
romana,,,,lat̃,latina,2r,10,d,B,T2,P0,F2,S22,,,
cernendas,,,,separandas,separandas,2r,11,,B,T2,P0,F2,S22,,,
quorum,,,,s duorũ librorũ,scilicet duorum librorum,2r,12,a,B,T2,P0,F3,S53,,,
instruitur,,,,ordinatur ,,2r,12,b,A,T1,P0,F2,S22,,,
instruitur,,,,(et di)sponitur,,2r,12,c,B,T2,P0,F2,S22,,"*dispositio, ordinatio,docere, erudire, instruire, informare, insegnare ,redigere, reficere",
exsequit᷑,exsequitur,,,ꝑseꝗt᷑,prosequitur,2r,13,,B,T2,P0,F2,S22,,,
regulas,,,,rectitudines,rectitudines,2r,14,,B,T2,P0,F2,S22,regula,,
una ,,,,(pt̃r)? prima,ponitur prima ?,2r,16,a,B,T2,P0,F3,S53,,*aide du codex BnF 7499 f.,
carens,,,,ammitens,,2r,16,b,B,T2,P0,F2,S22,careo,,
tenore ,,,,iđ accentu,id est accentu,2r,16,c,A,T1,P0,F2,S22,tenor,,
infine,,,,& in t̃minatione,et in terminatione,2r,16,d,B,T2,P0,F3,S22,"finis *At 3.140.5ff. Prisc. uses finis (.14, 16, 20, 22, 25) in free variation with terminatio (.5, 18, 24) for AD’s τέλος",,
BARIΘONOC,βαρύτονος ,,,grauis sonus,grauis sonus,2r,16,e,m0,T0,P0,F3,S211,grauis,,Barithonos. Aliena atona
ab eis appelantur,,,,uidelicet [grecis],,2r,17,a,B,T2,P0,F3,S53,,*aide du codex BnF 7499 f.,
ex consonantib;,ex consonantibus,,,s̃ species,scilicet species ,2r,17,b,B,T2,P0,F2,S53,"consonans *types Dosith. 7.381.13 -ium species est duplex, sunt enim aliae semivocales, aliae mutae (Char. 5.7; Don. 603.7; Mar. Vict. 6.5.19; Vict. 6.195.10; Aud. 7.326.6; ps. Mar. Vict. 6.32.28). Prob. 4.49.4 semivocales et mutae appellantur -es. 50.19.
",,
ω inuentis,,,,[+++]is,,2r,18,a,B,T2,P0,F2,S22,,,
significat,,,,ostendit,,2r,18,b,B,T2,P0,F2,S22,significo,,
prolata,,,,pñtiata,pronuntiata,2r,19,a,B,T2,P0,F2,S22,"pronuntio * Aud. 7.357.10 sin vero non per suspirationem animi, sed aliter proferuntur, id quod significaverint -antur. *προφέρω",,
apud eos,,,,s apud grecos,scilicet apud grecos,2r,19,b,B,T2,P0,F3,S53,,,
ΠE/ΡΙCΠΟΜΕΝΕ,περισπωμένη,,,ꝑicpomene circũflexibilis,,2r,19,c,B,T2,P0,F2,S211,"circumflexus *Gk.: περισπωμένη, DT 7.1; μέση, Arist. rhet. 1403 b 28.
frg. Bob. 7.539.18 -us, quem perispomenon (dicunt Graeci).",Perspomene. quasi circũ flexo,
In secuncda persona inuentis,,,,[+++]as,,2r,21,,B,T2,P0,F2,S22  pour inuentis ?,,,
ex finali terminatione,,,,ex[++++]cione,ex terminacione,2r,22,,B,T2,P0,F3,S22,terminatio,,
dicunt,,,,apellant,,2v,1,a,B,T2,P0,F2,S22,,,
licet,,,,si uis,si uis,2v,1,b,B,T2,P0,F3,S22,,,
sicut multis ,,,,In aliis,,2v,2,a,B,T2,P0,F3,S611,,*in aliis regulis,
prorsus,,,,certe,,2v,2,b,A,T1,P0,F2,S22,,,
prorsus,,,,omnino,,2v,2,c,C,T3,P0,F2,S22,,,
inditia,,,,signa,signa,2v,3,a,B,T2,P0,F2,S22,signum*physical mark of aspiration,,
penitus,,,,ex toto ,,2v,4,a,A,T1,P0,F2,S22,,,
penitus,,,,& funditias,et funditias,2v,4,b,C,T3,P0,F2,F22,,,
in o ,,,,or,,2v,4,c,B,T2,P0,F2,S611,,,
imitari,,,,seꝗ,sequi,2v,5,a,B,T2,P0,F2,S22,,,
imitari,,,,s̃ lat̃ ,scilicet latini,2v,5,b,B,T2,P0,F2,S53,,,
terminalẽ,terminalem,,,& finalem,,2v,5,,C,T3,P0,F2,S22,terminalis,,
baritona,,,,hoc est grauisona,hoc est grauisona ,2v,6,,C,T2,P0,F4,S211,grauis *Collocations : sonus: Fest. 249.33.,,
baritona,,,,lat̃,,2v,8,,B,T2,P0,F2,S53,,,
ordinẽ,ordinem,,,seriem,seriem,2v,9,,B,T2,P0,F2,S22,ordo,,
ex qua,,,,s ob,scilicet ob,2v,10,,C,T3,P0,F2,S22,,,
penitus,penitus,,,funditꝰ,funditus,2v,12,,B,T2,P0,F2,S22,,,
incerta,,,,&ãbigua,et ambigua,2v,12,a,C,T3,P0,F2,S22,incertus,,
cogimur,,,,c̃pellim᷑,compellimur,2v,12,b,B,T2,P0,F2,S22,,,
enuntiare,,,,ꝓñtiare,pronuntiare,2v,14,a,B,T2,P0,F2,S22,"enuntio*Gk.: ἐκφωνέω, DH comp. 14; AD adv. 165.18.

See pronuntio 2, and further parallels s.v.",,
conabor,,,,ĩtẽptabor.,in temptabor,2v,14,b,C,T3,P0,F2,S22,,,
notatis,,,,exceptis & segregatis.,exceptis et segregatis,2v,18,a,C,T3,P0,F3,S22,noto,,
anomalis ,,,,inęqualib;,inaequalibus,2v,18,b,B,T2,P0,F2,S22,"anomalus, inaequalis",,
analogię,analogiae,,,ꝓportio,proportio,2v,19,,B,T2,P0,F2,S22,"analogia, proportio",,
cędo,caedo,,,dic,,2v,20,a,B,T2,P0,F2,?S1(ordre du maître ?),,,
faxo,,,,ꝓfacio,profacio,2v,20,b,B,T2,P0,F2,S22,,,
sodes,,,,si audes,si audes,2v,20,c,B,T2,P0,F3,S54,,,sodes. Si audes
aue,,,,salue,salue,2v,20,d,B,T2,P0,F2,S22,,,
ferit,,,,qͣsi ꝑcutit,quasi percutit,2v,20,e,B,T2,P0,F2,S22,,,
insit,,,,dicit,,2v,20,f,B,T2,P0,F2,S22,,,
similitudine,,,,aequalitate,,2v,21,,B,T2,P0,F2,S22,"Gk.: τὰ δὲ παραβολῆς ἢ ὁμοιώσεως, οἷον ὡς ὥσπερ ἠΰτε καθάπερ, DT 79.2.",,
generale,,,,qͣsi generalit̃ et cõmunit̃,quasi generaliter et communiter,2v,24,,B,T2,P0,F3,S22,,,
temptabo,,,,conabor,,3r,1,,C,T2,P0,F2,S22,,,
diriuatiua,,,,hoc ẽ deductiua.,,3r,2,,C,T2,P0,F3,S22,"deriuatus, deductiuus",,
unius tantũ modos,,,,c̃iugacianes,coniugaciones,3r,4,,B,T2,P0,F2,S53,"coniugatio *Aud. 7.345.14 -ο...est forma quaedam, ex qua intellegitur, promissivus modus ... quo modo efferri debeat (Vict. 6.198.31).",,
orthographis ,,,,recte scribentib;,recte scribentibus,3r,5,a,B,T2,P0,F3,S23,orthographus,,
consentientib;,consentientibus,,,c̃cordantib;,concordantibus,3r,5,b,B,T2,P0,F2,S22,,,
ebesco ,,,,fadt᷑dr̃,fadtur (fatuor?) dicitur,3r,6,a,B,T2,P0,F2,S22,,*fsstidium dare ?,
pertimesco,,,,ualde timere incipio ,,3r,6,b,B,T2,P0,F4,S23,,,
euanesco,,,,deficio,,3r,6,c,B,T2,P0,F2,S22,,,
patesco,,,,aperire incip{io},,3r,7,a,B,T2,P0,F3,S23,,,
notesco,,,,notꝰ fieri iñpio,notus fieri incipio,3r,7,b,B,T2,P0,F3,S23,,,
labasco,,,,ruere,,3r,7,c,B,T2,P0,F2,S22,,,
glisco,,,,cresco,cresco,3r,9,,B,T2,P0,F2,S22,,, A glis glisco id est cresco // Geo.glisco ł cresco.
micturio,,,,mingere ,,3r,11,a,B,T2,P0,F2,S22,,,
micturio,,,,meditor,,3r,11,b,C,T2,P0,F2,S22,,,
esurio,,,,manducare,,3r,11,c,B,T2,P0,F2,S22,,,
p̃cedente ,precedente,,,antecedente,,3r,13,,C,T2,P0,F2,S22,,,
lectito,,,,frequent̃ lego,frequenter lego,3r,14,,C,T2,P0,F3,S23,,,
dictito ,,,,frequent̃ dico,frequenter dico,3r,15,a,C,T2,P0,F3,S23,,,
cantito,,,,frequent̃ cano,frequenter cano,3r,15,b,C,T2,P0,F3,S23,,,
cursito,,,,frequent̃curso,frequenter curso,3r,15,c,C,T2,P0,F3,S23,,,
uisito,,,,frequent̃ uideo,frequenter uideo,3r,15,d,C,T2,P0,F3,S23,,,
merso ,,,,frequent̃ mergo,frequenter mergo,3r,15,e,C,T2,P0,F3,S23,,,
