lemma_id,gloss,gloss_type,gloss_form
p447_l05_o05,Preceptor. doctor ł magifter,S22,F3
p447_l05_o06,Adiutor/ discipulus ,S22,F2
p447_l18_o05,Barithonos/Aliena atona,S23,F3
p448_l02_o08,Perspomene. quasi circũ flexo,S211,F3
p448_l20_o07,si audes,S25,F3
f97r_l04_03-04,Cedo.dico,S22,F2
p448_l23_o03,A caluus. caluesco,S54,F3
p449_l01_o02, A notus uel noto notesco,S54,F3
p449_l01_o07,A purpura ł purpureo purpurasco,S54,F3
f97r_l07_01-02,Ago.mino,S22,F2
p449_l02_o04,A glis glisco id est cresco // Geo.glisco ł cresco.,S54,F4
p449_l12_o03,ꝓtheus pastor quidã,S553,F3
f97r_l07_07-09,Scobeo. fodio. ł colligo,S22,F3
p450_l01_o03,Conspicior. oculos subito intendo. intueor contẽplor.,S23,F4
p450_l02_o01,Defluo Decurro mano,S22,F3
p450_l02_o04,Nucleo. claudo,S22,F2
p450_l05_o01,Alluo suꝑunodo /ꝓfundo,S22,F3
p450_l05_o06,Vestio circũdo induo togo.,S22,F3
p450_l05_o11,suꝑundo ꝓfundo,S22,F3
p450_l06_o07,fatuor hebesco,S22,F2
p450_l06_o09,Liquor humor,S22,F2
p450_l08_o08, A uacuus. uacuo,S54,F3
p450_l08_o09,A uiduus uiduo,S54,F3
p450_l08_o11,Sinus. sinuo .id est curuo,S23,F4
p450_l08_o13,Tenuis Tenuor,S54,F2
p450_l09_o02,A continuus/Continuo assiduo . coniungo sotio. ,S22,F3
p450_l09_o03,A fluctus fluctuo,S54,F3
p450_l09_o04,Ab estus. eftuo;,S54,F3
p450_l09_o05,Mutuus. Mutuo,S54,F2
p450_l16_o07,Decurio. excogito ł concilior ,S22,F3
p450_l18_o08,Concilior . Consotio coniugo,S22,F3
p450_l20_o04,Delinior blandior,S22,F2
p450_l21_o04,furior. Insanio ł seuio,S22,F3
p450_l21_o09,basilius. primꝰ ł princeps; basilio. basilicã edifico ł principor,S23,F4
p450_l22_o07,Deprecio / uilẽfacio,S23,F3
p450_l26_o01,Pio purgo placo,S22,F3
p451_l01_o08,Lanius laniator;,S22,F2
p451_l02_o10,Farcio impleo,S22,F3
p451_l09_o02,farcio. impleo;,S22,F4
p451_l09_o03,Expedio a periodico.ł ꝓsũ,S23,F3
p451_l10_o02,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4
p451_l10_o05,loco. stabilo colloco. statuo ł mercedẽ contduco. ,S23,F4
p451_l11_o04,insignior. orno. nobilito,S22,F3
p451_l12_o02,Sopio Dormio,S22,F2
p451_l12_o03,Exsicco ł ferio,S22,F2
p451_l12_o06,Garrio/ Murmuro perstrepo,S22,F3
p451_l12_o07,Ligurrio deglutio,S22,F2
p451_l13_o01,Prurio /scalpo ł uror,S22,F3
p451_l13_o03,Haurio.Euacuo,S22,F2
