,lemma_id,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087,folio,lemma,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id,marginal_note_type,marginal_note_form
0,p447_l05_o05,Preceptor. doctor ł magifter,S22,F3,73r,DOCTORIB ,p447_l05_o05_a,magistris p̃ceptorib,S22,F3,,,
1,p447_l05_o06,Adiutor/ discipulus ,S23,F2,73r,AVDITORṼ ,p447_l05_o06_a,discipuloꝵ,S22,F2,,,
2,p447_l18_o05,Barithonos/Aliena atona,S23,F3,73r,ΒΑΡΙΤΟΝΑ ,p447_l18_o05_a,grauisona,S211,F2,,,
3,p448_l02_o08,Perspomene. quasi circũ flexo,S211,F3,73r,ΠΕΡΙCΠΩΜΕΝΗ ,p448_l02_o08_a,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ,S211,F4,,,
4,p448_l20_o07,si audes,S25,F3,73v,Sodes ,p448_l20_o07_a,si audes,S25,F3,,,
5,p449_l01_o02, A notus uel noto notesco,S54,F3,73v,Notesco ,p449_l01_o02_a,inc̃ notescere,S23,F3,p449_l01_o02_b,S23,F4
6,p449_l01_o07,A purpura ł purpureo purpurasco,S55,F3,73v,Purpurasco ,p449_l01_o07_a,purpurare in / cipio,S23,F2,,,
7,p449_l02_o04,A glis glisco id est cresco // Geo.glisco ł cresco.,S54,F4,73v,Glisco ,p449_l02_o04_a,÷ crescere,S23,F3,p449_l02_o04_b,S5,F5
8,p449_l12_o03,ꝓtheus pastor quidã,S553,F3,74r,protheus ,p449_l12_o03_a,ꝓpũ nom̃,S553,F3,,,
9,p450_l01_o03,Conspicior. oculos subito intendo. intueor contẽplor.,S23,F4,74r,Intueor ,p450_l01_o03_a,inspitio cerno,S22,F3,,,
10,p450_l02_o01,Defluo Decurro mano,S22,F3,74v,Meo ,p450_l02_o01_a,transeo/ãbulo,S22,F3,,,
11,p450_l02_o04,Nucleo. claudo,S22,F2,74v,Enucleo ,p450_l02_o04_a,aperio /manifesto,S22,F3,p450_l02_o04_b,S54,F4
12,p450_l05_o06,Vestio circũdo induo togo.,S22,F3,74v,Induo ,p450_l05_o06_a,cirũdo,S22,F2,,,
13,p450_l05_o11,suꝑundo ꝓfundo,S22,F3,74v,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,
14,p450_l06_o07,fatuor hebesco,S22,F2,74v,Fatuo ,p450_l06_o07_a,hebeo tardo,S22,F3,p450_l06_o07_b,S5,F5
15,p450_l06_o09,Liquor humor,S22,F2,74v,Liquor ,,,,,p450_l06_o09_a,S5,F5
16,p450_l08_o08, A uacuus. uacuo,S54,F3,74v,Vacuo ,p450_l08_o08_a,uacuus,S24,F2,,,
17,p450_l08_o09,A uiduus uiduo,S54,F3,74v,Viduo ,p450_l08_o09_a,desero ł cibo,S22,F3,,,
18,p450_l09_o02,A continuus/Continuo assiduo . coniungo sotio. ,S22,F3,74v, Continuo ,p450_l09_o02_a,ꝓtelo/ł continuatĩ q̃ cepi fatio,S23,F4,,,
19,p450_l09_o03,A fluctus fluctuo,S54,F3,74v,Fluctuo ,p450_l09_o03_a,dubito ł titubo,S22,F3,,,
20,p450_l16_o07,Decurio. excogito ł concilior ,S22,F3,74v,decurio ,,,,,p450_l16_o07_a,S4181,F5
21,p450_l20_o04,Delinior blandior,S22,F2,74v,Delinio ,p450_l20_o04_a,blandior,S22,F2,,,
22,p450_l22_o07,Deprecio / uilẽfacio,S23,F3,74v,Depretio ,p450_l22_o07_a,uilẽ facio,S23,F3,,,
23,p450_l26_o01,Pio purgo placo,S22,F3,74v,pio ,p450_l26_o01_a,mundo,S22,F2,,,
24,p451_l09_o02,farcio. impleo;,S22,F4,75r,Fartio ,p451_l09_o02_a,repleo ÷ ꝓfli?o,S22,F3,,,
25,p451_l09_o03,Expedio a periodico.ł ꝓsũ,S23,F3,75r,Expedio ,p451_l09_o03_a,expedio ex ex ⁊ pes/÷ absoluo ł conuenio/qͣsi ex pede,S25,F3,,,
26,p451_l10_o02,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4,75r,Presagio ,p451_l10_o02_a,futura p̃dico,S23,F3,p451_l10_o02_b,S5,F5
27,p451_l10_o05,loco. stabilo colloco. statuo ł mercedẽ contduco. ,S23,F4,75r,Stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,,,
28,p451_l11_o04,insignior. orno. nobilito,S22,F3,75r,Insignio ,p451_l11_o04_a,nobilio,S22,F2,p451_l11_o04_b,S5,F5
