,lemma_id,folio,lemma,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
0,p447_l05_o05,02r,doctorib;,p̃ce<ptoribus>,S22,F2,,,,Preceptor. doctor ł magifter,S22,F3
1,p447_l05_o06,02r,auditorum,iđ discipulorũ,S22,F2,,,,Adiutor/ discipulus ,S23,F2
2,p447_l18_o05,02r,BARIΘONOC,grauis sonus,S211,F3,,,,Barithonos/Aliena atona,S23,F3
3,p448_l02_o08,02r,ΠE/ΡΙCΠΟΜΕΝΕ,ꝑicpomene circũflexibilis,S211,F3,,,,Perspomene. quasi circũ flexo,S211,F3
4,p448_l20_o07,02v,sodes,si audes,S23,F3,,,,si audes,S25,F3
5,p449_l01_o02,03r,notesco,notꝰ fieri iñpio,S23,F3,,,, A notus uel noto notesco,S54,F3
6,p449_l02_o04,03r,glisco,cresco,S22,F2,,,,A glis glisco id est cresco // Geo.glisco ł cresco.,S54,F4
7,p450_l01_o03,03v,intueor,inspicio/uideo  c̃sidero,S22,F3,,,,Conspicior. oculos subito intendo. intueor contẽplor.,S23,F4
8,p450_l02_o01,03v,meo,pergo,S22,F2,,,,Defluo Decurro mano,S22,F3
9,p450_l02_o04,03v,enucleo,aperio,S22,F2,,,,Nucleo. claudo,S22,F2
10,p450_l05_o06,04r,induo ,uestio,S22,F2,,,,Vestio circũdo induo togo.,S22,F3
11,p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,,suꝑundo ꝓfundo,S22,F3
12,p450_l06_o07,04r,fatuo ,desinio,S22,F2,,,,fatuor hebesco,S22,F2
13,p450_l06_o09,04r,liquor,soluor/ fluor,S22,F3,,,,Liquor humor,S22,F2
14,p450_l08_o11,04r,uacuo,inanio  ,S22,F2,,,,Sinus. sinuo .id est curuo,S23,F4
15,p450_l08_o13,04r,tenuo,exilẽ facio,S23,F3,,,,Tenuis Tenuor,S54,F2
16,p450_l09_o02,04r,continuo,c̃iungo,S22,F2,,,,A continuus/Continuo assiduo . coniungo sotio. ,S22,F3
17,p450_l09_o03,04r,fluctuo ,uacillo,S22,F2,,,,A fluctus fluctuo,S54,F3
18,p450_l09_o05,04r,tumultuor,contendo,S22,F2,,,,Mutuus. Mutuo,S54,F2
19,p450_l09_o04,04r,estuo,ferueo,S22,F2,,,,Ab estus. eftuo;,S54,F3
20,p450_l20_o04,04r,delinio,lineã destro ł unguo,S22,F3,,,,Delinior blandior,S22,F2
21,p450_l21_o04,04r,furio,insanio,S22,F2,ł furior ari,S22,F2,furior. Insanio ł seuio,S22,F3
22,p450_l21_o09,04r,basiũ,ba[++],S22,F2,,,,basilius. primꝰ ł princeps; basilio. basilicã edifico ł principor,S23,F4
23,p450_l22_o07,04v,deprecio,uilẽ facio,S22,F3,,,,Deprecio / uilẽfacio,S23,F3
24,p450_l26_o01,04v,pio,purgo/mundo,S22,F3,,,,Pio purgo placo,S22,F3
25,p451_l02_o10,04v,fartores,repletores,S22,F2,,,,Farcio impleo,S22,F3
26,p451_l09_o02,04v,fartio,im pleo {expleo? ex far++ ?},S23,F4,,,,farcio. impleo;,S22,F4
27,p451_l09_o03,04v,expedio,quasi impeditũ,S22,F2,,,,Expedio a periodico.ł ꝓsũ,S23,F3
28,p451_l10_o02,04v,p̃sagio,futura prędico,S23,F3,,,,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4
29,p451_l10_o05,04v,stabilio ,constituo/c̃firmo,S22,F3,,,,loco. stabilo colloco. statuo ł mercedẽ contduco. ,S23,F4
30,p451_l11_o04,04v,insignio,orno/redimio,S22,F3,,,,insignior. orno. nobilito,S22,F3
31,p451_l12_o02,05r,Sopio,dormio,S22,F2,,,,Sopio Dormio,S22,F2
32,p451_l12_o03,05r,Ferio,ꝑcucio,S22,F2,,,,Exsicco ł ferio,S22,F2
33,p451_l12_o06,05r,Garrio,murmuro,S22,F2,,,,Garrio/ Murmuro perstrepo,S22,F3
34,p451_l12_o07,05r,Ligurrio,lango ł gusto.,S22,F3,,,,Ligurrio deglutio,S22,F2
35,p451_l13_o01,05r,Prurio,saniem emitte iđ scabiem,S23,F4,,,,Prurio /scalpo ł uror,S22,F3
