,folio,lemma_id,lemma,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
0,71r,p447_l05_o05,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,,Preceptor. doctor ł magifter,S22,F3
1,71r,p447_l05_o06,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,,Adiutor/ discipulus ,S23,F2
2,71r,p447_l18_o05,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,,Barithonos/Aliena atona,S23,F3
3,71r,p448_l02_o08,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,,Perspomene. quasi circũ flexo,S211,F3
4,71r,p448_l20_o07,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,,si audes,S25,F3
5,71v,p449_l01_o07,purpurasco ,,,,,,p449_l01_o07_a,S22,F3,A purpura ł purpureo purpurasco,S55,F3
6,71v,p449_l02_o04,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,,A glis glisco id est cresco // Geo.glisco ł cresco.,S54,F4
7,71v,p450_l01_o03,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,,Conspicior. oculos subito intendo. intueor contẽplor.,S23,F4
8,71v,p450_l02_o01,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,,Defluo Decurro mano,S22,F3
9,71v,p450_l02_o04,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,,Nucleo. claudo,S22,F2
10,71v,p450_l05_o01,c̃iugatio ,p450_l05_o01_a,sola,S611,F2,normal,,,,Alluo suꝑunodo /ꝓfundo,S22,F3
11,71v,p450_l05_o06,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,,Vestio circũdo induo togo.,S22,F3
12,71v,p450_l05_o11,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,,suꝑundo ꝓfundo,S22,F3
13,71v,p450_l06_o07,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,,fatuor hebesco,S22,F2
14,71v,p450_l06_o09,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,,Liquor humor,S22,F2
15,71v,p450_l08_o08,uacuo ,p450_l08_o08_a,exinanio,S22,F2,normal,,,, A uacuus. uacuo,S54,F3
16,71v,p450_l08_o09,uiduo ,p450_l08_o09_a,desero ł orbo,S22,F3,normal,,,,A uiduus uiduo,S54,F3
