,folio_Bamberg,lemma_id,lemma_Bamberg,gloss_id_Bamberg,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,folio_Lat7499,lemma_Lat7499,gloss_id_Lat7499,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
0,71r,p447_l01_o00,EVTICII ,,,,,,p447_l01_o00_a,S54,F5,73r,EVTICII ,p447_l01_o00_a,Eutex euticis. Inde euticius eutici,S54,F3,,,
1,71r,p447_l05_o02,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,normal,,,,73r,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,p447_l05_o02_b,S23,F5
2,71r,p447_l05_o04,QVĘSTIONES ,p447_l05_o04_a,ꝓ positiones,S22,F2,normal,,,,73r,QVESTIONES ,p447_l05_o04_a,÷ ꝓpositiones,S22,F2,p447_l05_o04_b,S631,F5
3,71r,p447_l05_o05,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,,73r,DOCTORIB ,p447_l05_o05_a,magistris p̃ceptorib,S22,F3,,,
4,71r,p447_l05_o06,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,,73r,AVDITORṼ ,p447_l05_o06_a,discipuloꝵ,S22,F2,,,
5,71r,p447_l05_o07,ACVTIora ,p447_l05_o07_a,peritiora astutiora /subtiliora VALᵈ ͤ <...?>/excellentiora,S22,F3,normal,,,,73r,acutiora ,p447_l05_o07_a,"efficatiora ÷ ualde acuta, peritiora acutiora / excellentiora :",S22,F3,,,
6,71r,p447_l05_o08,comouere ,p447_l05_o08_a,incitare,S22,F2,normal,,,,73r,commouere ,p447_l05_o08_a,suscitare incitare,S22,F3,,,
7,71r,p447_l06_o02,soleant ,p447_l06_o02_a,c̃suescant,S22,F2,normal,,,,73r,soleant ,p447_l06_o02_a,consuescant : / ł qđo in usu hñt / solescant,S22,F4,,,
8,71r,p447_l06_o05,curiositas ,p447_l06_o05_a,(a cora) sagax sollicitudo,S22,F2,normal,,,,73r,curiositas ,p447_l06_o05_a,.s. sagax sollicitudo,S22,F3,p447_l06_o05_b,S23,F5
9,71r,p447_l06_o07,familiaris ,p447_l06_o07_a,adherens/ingenita (intꝰ genita) amica,S23,F3,normal,,,,73r,familiaris ,p447_l06_o07_a,ingenieta et adhęrens,S22,F3,,,
