,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg
0,p447_l01_o00,02r,INCIPIT LIBER EVTI/CI GRAMMAT(I)CI /DE VERBO,,,,++++/de uer[bo] ++++/[bo]nus contextor ,S523,F4,71r,EVTICII ,,,,,,p447_l01_o00_a,S54,F5
1,p447_l05_o02,02r,semper,s. cũ frequentia,S23,F3,,,,71r,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,normal,,,
2,p447_l05_o04,02r,nouas quaestiones,novẽ int̃rogaciones,S22,F3,,,,71r,QVĘSTIONES ,p447_l05_o04_a,ꝓ positiones,S22,F2,normal,,,
3,p447_l05_o05,02r,doctorib;,p̃ce<ptoribus>,S22,F2,,,,71r,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,
4,p447_l05_o06,02r,auditorum,iđ discipulorũ,S22,F2,,,,71r,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,
5,p447_l05_o07,02r,acutiora,perspicatiora,S22,F2,,,,71r,ACVTIora ,p447_l05_o07_a,peritiora astutiora /subtiliora VALᵈ ͤ <...?>/excellentiora,S22,F3,normal,,,
6,p447_l05_o08,02r,cõmouere ,reperire et excitare ,S22,F3,,,,71r,comouere ,p447_l05_o08_a,incitare,S22,F2,normal,,,
7,p447_l06_o02,02r,soleant,in queareniã honari?,S22,F3,,,,71r,soleant ,p447_l06_o02_a,c̃suescant,S22,F2,normal,,,
8,p447_l06_o05,02r,curiositas,qͣsi sollicitudo,S22,F2,,,,71r,curiositas ,p447_l06_o05_a,(a cora) sagax sollicitudo,S22,F2,normal,,,
9,p447_l06_o07,02r,familiaris,ĩ specialit̃ ⁊ ꝓprie aderens,S23,F4,ĩ afinis & cognata,S22,F4,71r,familiaris ,p447_l06_o07_a,adherens/ingenita (intꝰ genita) amica,S23,F3,normal,,,
10,p447_l07_o01,02r,desiderat,cupit,S22,F2,,,,71r,desider& ,p447_l07_o01_a,c̃cupiscat,S22,F2,normal,,,
11,p447_l07_o03,02r,recens,nouit(er),S22,F2,,,,71r,recens ,p447_l07_o03_a,nouum,S22,F2,normal,,,
12,p447_l08_o02,02r,iure,recte /adũ locũ qualitatis,S22,F3,,,,71r,iurę ,p447_l08_o02_a,merito,S22,F2,normal,,,
13,p447_l08_o04,02r,imponi,suꝑponi immitti,S22,F3,,,,71r,imponi ,p447_l08_o04_a,dignũ ducit᷑,S23,F3,normal,,,
14,p447_l09_o03,02r,diligentissime ,dilectissima,S22,F2,,,,71r,diligentissime ,p447_l09_o03_a,studiosissime,S22,F2,normal,,,
15,p447_l09_o05,02r,Cratere,nom̃ ꝓpͥũ,S553,F3,,,,71r,cratere ,p447_l09_o05_a,uocesca s̃,S553,F2,normal,,,
16,p447_l10_o01,02r,facundia,iđ doctrina /eloquentia,S22,F3,facundu᷑ uocit᷑ eo qđ facile fari/potest. for faris inde facundia.,S54,F4,71r,facundia ,p447_l10_o01_a,eloquentia,S22,F2,normal,p447_l10_o01_b,S22,F2
17,p447_l10_o03,02r,equiperante,coęquantẽ,S22,F2,,,,71r,aequiperatẽ ,p447_l10_o03_a,assimilantẽ ꝓsequentẽ,S22,F3,normal,,,
18,p447_l11_o01,02r,excellentes,presũt ĩgentes,S22,F3,,,,71r,excellentes ,p447_l11_o01_a,EMIN ͤ ᷠ ͭ ͤ ᷤ SUBAUD ͥ ͭ ͧ ͬ ILL ͦ ᷤ IDEST MA ͥ ͦ ͬ ͧ ͫ TU ͦ ᷤ,S23,F4,shorthand,,,
19,p447_l11_o05,02r,superauisse,suꝑ orauisse,S25,F3,,,,71r,superauisse ,p447_l11_o05_a,uicisse,S22,F2,normal,,,
20,p447_l11_o06,02r,romana,lat̃,S22,F2,,,,71r,romana ,p447_l11_o06_a,latina,S22,F2,normal,,,
21,p447_l12_o02,02r,discernendas,separandas,S22,F2,,,,71r,discernendas ,p447_l12_o02_a,distinguendas,S22,F2,normal,,,
22,p447_l12_o09,02r,quorum,s duorũ librorũ,S3232,F3,,,,71r,quorũ ,p447_l12_o09_a,sb̶ librorũ,S3232,F2,normal,,,
23,p447_l13_o03,02r,instruitur,ordinatur /(et di)sponitur,S22,F3,,,,71r,instruit᷑ ,p447_l13_o03_a,disponit᷑ ORDIN ͣ ͭ ͧ ͬ,S22,F3,normal,,,
24,p447_l14_o02,02r,exsequit᷑,ꝑseꝗt᷑,S22,F2,,,,71r,exsequit᷑ ,p447_l14_o02_a,c̃seꝗt᷑ c̃tin&,S22,F3,normal,,,
25,p447_l17_o08,02r,una ,(pt̃r)? prima,S53,F3,,,,71r,Vna ,p447_l17_o08_a,PRO pͥma PON ͥ ͭ ͧ ͬ,S53,F4,normal,,,
26,p447_l18_o01,02r,carens,ammitens,S22,F2,,,,71r,carens ,p447_l18_o01_a,ñ habens,S23,F3,normal,,,
27,p447_l18_o02,02r,tenore ,iđ accentu,S22,F2,,,,71r,tenore ,p447_l18_o02_a,accentũ,S22,F2,normal,,,
28,p447_l18_o05,02r,BARIΘONOC,grauis sonus,S211,F3,,,,71r,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,
29,p447_l18_o07,02r,eis,uidelicet [grecis],S3232,F3,,,,71r,eis ,p447_l18_o07_a,SUBAUD ͥ ͭ ͧ ͬ gręcis,S3232,F3,normal,,,
30,p447_l18_o09,02r,que,s̃ species,S3232,F2,,,,71r,quę ,p447_l18_o09_a,sb̶ pͥma species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F4,normal,,,
31,p448_l01_o08,02r,significat,ostendit,S22,F2,,,,71r,significat ,p448_l01_o08_a,demonstrat,S22,F2,normal,,,
32,p448_l02_o04,02r,prolata,pñtiata,S22,F2,,,,71r,ꝓlata ,p448_l02_o04_a,enuntiata,S22,F2,normal,,,
33,p448_l02_o06,02r,eos,s apud grecos,S3232,F3,,,,71r,eos ,p448_l02_o06_a,sb̶ gręcos,S3232,F2,normal,,,
34,p448_l02_o08,02r,ΠE/ΡΙCΠΟΜΕΝΕ,ꝑicpomene circũflexibilis,S211,F3,,,,71r,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,
35,p448_l04_o11,02v,dicunt,apellant,S22,F2,,,,71r,dicunt ,p448_l04_o11_a,sb̶ gręci,S415,F2,normal,,,
36,p448_l06_o05,02v,prorsus,certe /omnino,S22,F3,,,,71r,prorsus ,p448_l06_o05_a,omnino,S22,F2,normal,,,
37,p448_l07_o01,02v,inditia,signa,S22,F2,,,,71r,indicia ,p448_l07_o01_a,signa,S22,F2,normal,,,
