,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Lat7499,lemma_Lat7499,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
0,p447_l01_o00,02r,INCIPIT LIBER EVTI/CI GRAMMAT(I)CI /DE VERBO,,,,++++/de uer[bo] ++++/[bo]nus contextor ,S523,F4,73r,EVTICII ,p447_l01_o00_a,Eutex euticis. Inde euticius eutici,S54,F3,,,
1,p447_l05_o02,02r,semper,s. cũ frequentia,S23,F3,,,,73r,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,p447_l05_o02_b,S23,F5
2,p447_l05_o04,02r,nouas quaestiones,novẽ int̃rogaciones,S22,F3,,,,73r,QVESTIONES ,p447_l05_o04_a,÷ ꝓpositiones,S22,F2,p447_l05_o04_b,S631,F5
3,p447_l05_o05,02r,doctorib;,p̃ce<ptoribus>,S22,F2,,,,73r,DOCTORIB ,p447_l05_o05_a,magistris p̃ceptorib,S22,F3,,,
4,p447_l05_o06,02r,auditorum,iđ discipulorũ,S22,F2,,,,73r,AVDITORṼ ,p447_l05_o06_a,discipuloꝵ,S22,F2,,,
5,p447_l05_o07,02r,acutiora,perspicatiora,S22,F2,,,,73r,acutiora ,p447_l05_o07_a,"efficatiora ÷ ualde acuta, peritiora acutiora / excellentiora :",S22,F3,,,
6,p447_l05_o08,02r,cõmouere ,reperire et excitare ,S22,F3,,,,73r,commouere ,p447_l05_o08_a,suscitare incitare,S22,F3,,,
7,p447_l06_o02,02r,soleant,in queareniã honari?,S22,F3,,,,73r,soleant ,p447_l06_o02_a,consuescant : / ł qđo in usu hñt / solescant,S22,F4,,,
8,p447_l06_o05,02r,curiositas,qͣsi sollicitudo,S22,F2,,,,73r,curiositas ,p447_l06_o05_a,.s. sagax sollicitudo,S22,F3,p447_l06_o05_b,S23,F5
9,p447_l06_o07,02r,familiaris,ĩ specialit̃ ⁊ ꝓprie aderens,S23,F4,ĩ afinis & cognata,S22,F4,73r,familiaris ,p447_l06_o07_a,ingenieta et adhęrens,S22,F3,,,
10,p447_l06_o09,02r,cotidie,s̃ hominis ?dãƀrũ operis,S23,F4,,,,73r,cotidie ,p447_l06_o09_a,quot dieb ł sẽꝑ,S22,F3,,,
11,p447_l07_o01,02r,desiderat,cupit,S22,F2,,,,73r,desideret ,p447_l07_o01_a,.s. audire,S22,F2,,,
12,p447_l07_o03,02r,recens,nouit(er),S22,F2,,,,73r,recens ,p447_l07_o03_a,Nouũ,S22,F2,,,
13,p447_l08_o02,02r,iure,recte /adũ locũ qualitatis,S22,F3,,,,73r,iure ,p447_l08_o02_a,dignũ ducit᷑ / ÷ ratione cũ lege merito:,S32,F4,,,
14,p447_l08_o04,02r,imponi,suꝑponi immitti,S22,F3,,,,73r,imponi ,p447_l08_o04_a,ab int̃rogari / tibi dimietę?,S23,F4,,,
15,p447_l09_o03,02r,diligentissime ,dilectissima,S22,F2,,,,73r,dilectissime ,p447_l09_o03_a,studiosissime ꝗ es diligentissimꝰ,S22,F3,,,
16,p447_l09_o05,02r,Cratere,nom̃ ꝓpͥũ,S553,F3,,,,73r,CRATERE ,p447_l09_o05_a,ꝓpͥũ nom̃,S553,F3,,,
17,p447_l10_o01,02r,facundia,iđ doctrina /eloquentia,S22,F3,facundu᷑ uocit᷑ eo qđ facile fari/potest. for faris inde facundia.,S54,F4,73r,facundia ,p447_l10_o01_a,÷ eloquentia lepore,S22,F3,p447_l10_o01_b,S54,F5
18,p447_l10_o03,02r,equiperante,coęquantẽ,S22,F2,,,,73r,ęquiperantem ,p447_l10_o03_a,coęquantẽ,S22,F2,,,
19,p447_l11_o01,02r,excellentes,presũt ĩgentes,S22,F3,,,,73r,excellentes ,p447_l11_o01_a,s. illos maiores / superantes eminentes,S22,F3,,,
20,p447_l11_o04,02r,doctrina,eloquentia,S22,F2,,,,73r,doctrina ,p447_l11_o04_a,s. in oꝑũ,S22,F2,,,
21,p447_l11_o05,02r,superauisse,suꝑ orauisse,S25,F3,,,,73r,superauisse ,p447_l11_o05_a,.s. te uicisse,S42,F3,,,
22,p447_l11_o06,02r,romana,lat̃,S22,F2,,,,73r,romana ,p447_l11_o06_a,÷ latina,S22,F2,,,
23,p447_l12_o02,02r,discernendas,separandas,S22,F2,,,,73r,discernendas ,p447_l12_o02_a,distinguendas separandas,S22,F3,,,
