lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Latin14087,gloss_type_Latin14087,gloss_form_Latin14087
p447_l05_o05,02r,doctorib;,p̃ce<ptoribus>,S22,F2,,,,71r,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,,p447,73r,DOCTORIB ,p447_l05_o05_a,magistris p̃ceptorib,S22,F3,,,,Preceptor. doctor ł magifter,S22,F3
p447_l05_o06,02r,auditorum,iđ discipulorũ,S22,F2,,,,71r,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,,p447,73r,AVDITORṼ ,p447_l05_o06_a,discipuloꝵ,S22,F2,,,,Adiutor/ discipulus ,S23,F2
p447_l18_o05,02r,BARIΘONOC,grauis sonus,S211,F3,,,,71r,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,,p447,73r,ΒΑΡΙΤΟΝΑ ,p447_l18_o05_a,grauisona,S211,F2,,,,Barithonos/Aliena atona,S23,F3
p448_l02_o08,02r,ΠE/ΡΙCΠΟΜΕΝΕ,ꝑicpomene circũflexibilis,S211,F3,,,,71r,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,,p448,73r,ΠΕΡΙCΠΩΜΕΝΗ ,p448_l02_o08_a,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ,S211,F4,,,,Perspomene. quasi circũ flexo,S211,F3
p448_l20_o07,02v,sodes,si audes,S23,F3,,,,71r,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,,p448,73v,Sodes ,p448_l20_o07_a,si audes,S25,F3,,,,si audes,S25,F3
p449_l02_o04,03r,glisco,cresco,S22,F2,,,,71v,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,,p449,73v,Glisco ,p449_l02_o04_a,÷ crescere,S23,F3,p449_l02_o04_b,S5,F5,A glis glisco id est cresco // Geo.glisco ł cresco.,S54,F4
p450_l01_o03,03v,intueor,inspicio/uideo  c̃sidero,S22,F3,,,,71v,intueor ,p450_l01_o03_a,cerno,S22,F2,normal,,,,p450,74r,Intueor ,p450_l01_o03_a,inspitio cerno,S22,F3,,,,Conspicior. oculos subito intendo. intueor contẽplor.,S23,F4
p450_l02_o01,03v,meo,pergo,S22,F2,,,,71v,meo ,p450_l02_o01_a,transeo,S22,F2,normal,,,,p450,74v,Meo ,p450_l02_o01_a,transeo/ãbulo,S22,F3,,,,Defluo Decurro mano,S22,F3
p450_l02_o04,03v,enucleo,aperio,S22,F2,,,,71v,enucleo ,p450_l02_o04_a,manifesto,S22,F2,normal,,,,p450,74v,Enucleo ,p450_l02_o04_a,aperio /manifesto,S22,F3,p450_l02_o04_b,S54,F4,Nucleo. claudo,S22,F2
p450_l05_o06,04r,induo ,uestio,S22,F2,,,,71v,induo ,p450_l05_o06_a,circũdo,S22,F2,normal,,,,p450,74v,Induo ,p450_l05_o06_a,cirũdo,S22,F2,,,,Vestio circũdo induo togo.,S22,F3
p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,,71v,alluo ,p450_l05_o11_a,inundo,S22,F2,normal,,,,p450,74v,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,,suꝑundo ꝓfundo,S22,F3
p450_l06_o07,04r,fatuo ,desinio,S22,F2,,,,71v,fatuo ,p450_l06_o07_a,hębeo,S22,F2,normal,,,,p450,74v,Fatuo ,p450_l06_o07_a,hebeo tardo,S22,F3,p450_l06_o07_b,S5,F5,fatuor hebesco,S22,F2
p450_l06_o09,04r,liquor,soluor/ fluor,S22,F3,,,,71v,liquor ,p450_l06_o09_a,-,S11,F1,normal,,,,p450,74v,Liquor ,,,,,p450_l06_o09_a,S5,F5,Liquor humor,S22,F2
p450_l09_o02,04r,continuo,c̃iungo,S22,F2,,,,71v,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,,p450,74v, Continuo ,p450_l09_o02_a,ꝓtelo/ł continuatĩ q̃ cepi fatio,S23,F4,,,,A continuus/Continuo assiduo . coniungo sotio. ,S22,F3
p450_l09_o03,04r,fluctuo ,uacillo,S22,F2,,,,71v,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,,p450,74v,Fluctuo ,p450_l09_o03_a,dubito ł titubo,S22,F3,,,,A fluctus fluctuo,S54,F3
p450_l20_o04,04r,delinio,lineã destro ł unguo,S22,F3,,,,72r,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,,p450,74v,Delinio ,p450_l20_o04_a,blandior,S22,F2,,,,Delinior blandior,S22,F2
p450_l26_o01,04v,pio,purgo/mundo,S22,F3,,,,72r,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,,p450,74v,pio ,p450_l26_o01_a,mundo,S22,F2,,,,Pio purgo placo,S22,F3
p451_l09_o02,04v,fartio,im pleo {expleo? ex far++ ?},S23,F4,,,,72r,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,,p451,75r,Fartio ,p451_l09_o02_a,repleo ÷ ꝓfli?o,S22,F3,,,,farcio. impleo;,S22,F4
p451_l09_o03,04v,expedio,quasi impeditũ,S22,F2,,,,72r,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,,p451,75r,Expedio ,p451_l09_o03_a,expedio ex ex ⁊ pes/÷ absoluo ł conuenio/qͣsi ex pede,S25,F3,,,,Expedio a periodico.ł ꝓsũ,S23,F3
p451_l10_o02,04v,p̃sagio,futura prędico,S23,F3,,,,72r,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,,p451,75r,Presagio ,p451_l10_o02_a,futura p̃dico,S23,F3,p451_l10_o02_b,S5,F5,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4
p451_l10_o05,04v,stabilio ,constituo/c̃firmo,S22,F3,,,,72r,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,,p451,75r,Stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,,,,loco. stabilo colloco. statuo ł mercedẽ contduco. ,S23,F4
p451_l11_o04,04v,insignio,orno/redimio,S22,F3,,,,72r,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,,p451,75r,Insignio ,p451_l11_o04_a,nobilio,S22,F2,p451_l11_o04_b,S5,F5,insignior. orno. nobilito,S22,F3
p451_l12_o02,05r,Sopio,dormio,S22,F2,,,,72r,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,,p451,75r,sopio ,p451_l12_o02_a,dormio /Vnde sopinus et sopor qđ fuit a p̃ paganos defectiuũ/fit,S5,F4,,,,Sopio Dormio,S22,F2
p451_l12_o03,05r,Ferio,ꝑcucio,S22,F2,,,,72r,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,,p451,75r,Ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,,,,Exsicco ł ferio,S22,F2
p451_l12_o06,05r,Garrio,murmuro,S22,F2,,,,72r,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,,p451,75r,Garrio ,p451_l12_o06_a,murmuro et inepte loquor et importo / auiũ ÷ ꝓpͥe garrire,S22,F4,p451_l12_o06_b,S23,F4,Garrio/ Murmuro perstrepo,S22,F3
