,page,gloss,marginal_note_id
0,p447,46,3
1,p448,65,5
2,p449,58,8
3,p450,71,8
4,p451,73,5
5,p452,69,7
6,p453,68,24
7,p454,91,27
8,p455,50,21
9,p456,54,16
10,p457,72,26
11,p458,80,41
12,p459,81,23
13,p460,29,8
14,p461,39,19
15,p462,50,21
16,p463,56,25
17,p464,20,14
18,p465,48,27
19,p466,45,8
20,p467,27,8
21,p468,27,14
22,p469,9,8
23,p470,31,19
24,p471,25,16
25,p472,19,7
26,p473,13,8
27,p474,33,11
28,p475,22,8
29,p476,29,16
30,p477,24,13
31,p478,35,19
32,p479,44,11
33,p480,27,5
34,p481,39,11
35,p482,20,10
36,p483,33,7
37,p484,20,9
38,p485,27,13
39,p486,35,1
40,p487,21,7
41,p488,12,5
