lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
p447_l01_o00,02r,INCIPIT LIBER EVTI/CI GRAMMAT(I)CI /DE VERBO,,,,++++/de uer[bo] ++++/[bo]nus contextor ,S523,F4,71r,EVTICII ,,,,,,p447_l01_o00_a,S54,F5,p447,73r,EVTICII ,p447_l01_o00_a,Eutex euticis. Inde euticius eutici,S54,F3,,,
p447_l05_o02,02r,semper,s. cũ frequentia,S23,F3,,,,71r,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,normal,,,,p447,73r,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,p447_l05_o02_b,S23,F5
p447_l05_o04,02r,nouas quaestiones,novẽ int̃rogaciones,S22,F3,,,,71r,QVĘSTIONES ,p447_l05_o04_a,ꝓ positiones,S22,F2,normal,,,,p447,73r,QVESTIONES ,p447_l05_o04_a,÷ ꝓpositiones,S22,F2,p447_l05_o04_b,S631,F5
p447_l05_o05,02r,doctorib;,p̃ce<ptoribus>,S22,F2,,,,71r,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,,p447,73r,DOCTORIB ,p447_l05_o05_a,magistris p̃ceptorib,S22,F3,,,
p447_l05_o06,02r,auditorum,iđ discipulorũ,S22,F2,,,,71r,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,,p447,73r,AVDITORṼ ,p447_l05_o06_a,discipuloꝵ,S22,F2,,,
p447_l05_o07,02r,acutiora,perspicatiora,S22,F2,,,,71r,ACVTIora ,p447_l05_o07_a,peritiora astutiora /subtiliora VALᵈ ͤ <...?>/excellentiora,S22,F3,normal,,,,p447,73r,acutiora ,p447_l05_o07_a,"efficatiora ÷ ualde acuta, peritiora acutiora / excellentiora :",S22,F3,,,
p447_l05_o08,02r,cõmouere ,reperire et excitare ,S22,F3,,,,71r,comouere ,p447_l05_o08_a,incitare,S22,F2,normal,,,,p447,73r,commouere ,p447_l05_o08_a,suscitare incitare,S22,F3,,,
p447_l06_o02,02r,soleant,in queareniã honari?,S22,F3,,,,71r,soleant ,p447_l06_o02_a,c̃suescant,S22,F2,normal,,,,p447,73r,soleant ,p447_l06_o02_a,consuescant : / ł qđo in usu hñt / solescant,S22,F4,,,
p447_l06_o05,02r,curiositas,qͣsi sollicitudo,S22,F2,,,,71r,curiositas ,p447_l06_o05_a,(a cora) sagax sollicitudo,S22,F2,normal,,,,p447,73r,curiositas ,p447_l06_o05_a,.s. sagax sollicitudo,S22,F3,p447_l06_o05_b,S23,F5
p447_l06_o07,02r,familiaris,ĩ specialit̃ ⁊ ꝓprie aderens,S23,F4,ĩ afinis & cognata,S22,F4,71r,familiaris ,p447_l06_o07_a,adherens/ingenita (intꝰ genita) amica,S23,F3,normal,,,,p447,73r,familiaris ,p447_l06_o07_a,ingenieta et adhęrens,S22,F3,,,
p447_l07_o01,02r,desiderat,cupit,S22,F2,,,,71r,desider& ,p447_l07_o01_a,c̃cupiscat,S22,F2,normal,,,,p447,73r,desideret ,p447_l07_o01_a,.s. audire,S22,F2,,,
