,lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_form_VLO41,gloss_form_Bamberg,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg
0,p447_l05_o05,S22,S22,F2,F2,doctorib;,p̃ce<ptoribus>,DOCTORIBVS ,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ
1,p447_l05_o06,S22,S22,F2,F2,auditorum,iđ discipulorũ,AVDITORVM ,discipulorũ
2,p447_l06_o05,S22,S22,F2,F2,curiositas,qͣsi sollicitudo,curiositas ,(a cora) sagax sollicitudo
3,p447_l07_o01,S22,S22,F2,F2,desiderat,cupit,desider& ,c̃cupiscat
4,p447_l07_o03,S22,S22,F2,F2,recens,nouit(er),recens ,nouum
5,p447_l09_o03,S22,S22,F2,F2,diligentissime ,dilectissima,diligentissime ,studiosissime
6,p447_l11_o06,S22,S22,F2,F2,romana,lat̃,romana ,latina
7,p447_l12_o02,S22,S22,F2,F2,discernendas,separandas,discernendas ,distinguendas
8,p447_l13_o03,S22,S22,F3,F3,instruitur,ordinatur /(et di)sponitur,instruit᷑ ,disponit᷑ ORDIN ͣ ͭ ͧ ͬ
9,p447_l18_o02,S22,S22,F2,F2,tenore ,iđ accentu,tenore ,accentũ
10,p447_l18_o07,S3232,S3232,F3,F3,eis,uidelicet [grecis],eis ,SUBAUD ͥ ͭ ͧ ͬ gręcis
11,p448_l01_o08,S22,S22,F2,F2,significat,ostendit,significat ,demonstrat
12,p448_l02_o04,S22,S22,F2,F2,prolata,pñtiata,ꝓlata ,enuntiata
13,p448_l07_o01,S22,S22,F2,F2,inditia,signa,indicia ,signa
14,p448_l08_o05,S22,S22,F2,F2,terminalẽ,& finalem,t̃minalẽ ,finalẽ
15,p448_l11_o02,S53,S53,F2,F2,carent,lat̃,carent ,sb̶ uerba
16,p448_l14_o02,S22,S22,F2,F2,penitus,funditꝰ,penitꝰ ,radicitꝰ
17,p448_l14_o04,S22,S22,F2,F2,incerta,&ãbigua,incerta ,dubia
18,p448_l14_o08,S22,S22,F2,F2,cogimur,c̃pellim᷑,cogim᷑ ,cõpellim᷑
19,p448_l19_o01,S22,S22,F2,F2,anomalis ,inęqualib;,anomalis ,inęqualib
20,p448_l20_o08,S22,S22,F2,F2,aue,salue,aue ,salue
21,p448_l20_o09,S22,S22,F2,F2,ferit,qͣsi ꝑcutit,ferit ,ꝑcutit
22,p448_l20_o10,S22,S22,F2,F2,insit,dicit,infit ,inquit
23,p449_l07_o01,S23,S23,F3,F3,lectito,frequent̃ lego,lectito ,frequent̃ lego
24,p449_l07_o10,S23,S23,F3,F3,nexo,frequent̃ necto,nexo ,frequent̃ necto ID EST ligo
25,p449_l08_o03,S3232,S3232,F2,F2,qđ,uerbũ,qđ ,VERB ͧ ͫ (?)
26,p449_l17_o05,S22,S22,F2,F2,discerni,diuidi,discerni ,distingui
27,p449_l20_o06,S22,S22,F2,F2,reboo,ĩ resono.,reboo ,resono
28,p449_l22_o06,S22,S22,F2,F2,reboantq;,&  resonant,reboant ,+
29,p449_l22_o06,S22,S22,F2,F2,reor ,estimo,reboant ,+
30,p449_l22_o06,S22,S22,F2,F2,reboantq;,&  resonant,reboant ,+
31,p449_l22_o06,S22,S22,F2,F2,reor ,estimo,reboant ,+
32,p449_l23_o02,S22,S22,F2,F2,inchoo,incipio,inchoo ,incipio
33,p449_l28_o05,S53,S53,F2,F2,secunda,s c̃iugatio,scđa ,CONIUGA ͭ ͥ ͦ
34,p449_l30_o04,S22,S22,F2,F2,taceo,sileo,taceo ,sileo
35,p449_l30_o09,S22,S22,F2,F2,maneo,habito,moneo ,admoneo
36,p449_l30_o10,S22,S22,F2,F2,stupeo,ãmiror,stupeo ,admiror
37,p449_l31_o01,S22,S22,F2,F2,censeo,iudico,censeo ,iudico
38,p449_l31_o02,S22,S22,F2,F2,pateo,aperio,pateo ,aperio
39,p450_l01_o01,S22,S22,F2,F2,profiteor,affirmo,ꝓfiteor ,c̃fiteor
40,p450_l01_o04,S22,S22,F2,F2,notandũ,excipiunt᷑,Notant᷑ ,excipiunt᷑
41,p450_l01_o09,S22,S22,F2,F2,creo,facio,creo ,c̃do
42,p450_l02_o01,S22,S22,F2,F2,meo,pergo,meo ,transeo
43,p450_l02_o03,S22,S22,F2,F2,nauseo,fastidio,nauseo ,fastidio
44,p450_l02_o04,S22,S22,F2,F2,enucleo,aperio,enucleo ,manifesto
45,p450_l02_o05,S22,S22,F2,F2,laqueo,ligo,laqueo ,irr&io
46,p450_l02_o06,S22,S22,F2,F2,screo,spuo,screo ,spuo
47,p450_l05_o06,S22,S22,F2,F2,induo ,uestio,induo ,circũdo
48,p450_l05_o08,S22,S22,F2,F2,fluo ,dercurro,fluo ,mano
49,p450_l05_o11,S22,S22,F2,F2,alluo,perfu(ndo),alluo ,inundo
50,p450_l06_o04,S22,S22,F2,F2,ruo,cado,ruo ,cado
51,p450_l06_o06,S22,S22,F2,F2,metuo ,timeo,m&uo ,timeo
52,p450_l06_o07,S22,S22,F2,F2,fatuo ,desinio,fatuo ,hębeo
53,p450_l09_o03,S22,S22,F2,F2,fluctuo ,uacillo,fluctuo ,titubo
54,p450_l09_o04,S22,S22,F2,F2,estuo,ferueo,ęstuo ,ferueo
55,p450_l24_o04,S22,S22,F2,F2,appositũ,e associatũ,appositũ ,adsociatũ
56,p450_l25_o08,S22,S22,F2,F2,hio,aperio,hio ,spiro
57,p450_l27_o02,S22,S22,F2,F2,amplio ,dilato,Amplio ,amplifico
58,p451_l02_o05-06,S22,S22,F3,F3,per apocopã ,ꝑ ablacionẽ  ,ꝑ apocopã ,ꝑ abscisione litterę
59,p451_l08_o10,S22,S22,F2,F2,sarcio,c̃stringo,sartio ,instauro
60,p451_l09_o03,S22,S22,F2,F2,expedio,quasi impeditũ,expedio ,absoluo
61,p451_l09_o08,S22,S22,F2,F2,erudio,doceo,erudio ,doceo
62,p451_l10_o09,S22,S22,F3,F3,redimio,decoro cõpono orno,redimio ,corono ł como
63,p451_l10_o10,S22,S22,F2,F2,exinanio,exuacuo,exinanio ,euacuo
64,p451_l11_o09,S22,S22,F2,F2,Grunnio,murmuro,munio ,defendo
65,p451_l12_o01,S22,S22,F2,F2,Sepio,circũdo,sępio ,circũdo
66,p451_l12_o02,S22,S22,F2,F2,Sopio,dormio,sopio ,dormio
67,p451_l12_o03,S22,S22,F2,F2,Ferio,ꝑcucio,ferio ,ꝑcutio
68,p451_l12_o05,S22,S22,F2,F2,Aperio,manifesto,aperio ,resero
69,p451_l13_o04,S22,S22,F2,F2,Inretio,inligo,irretio ,inlaqueo
70,p451_l14_o02,S22,S22,F2,F2,blandior,lenior,blandior ,adulor
71,p451_l14_o04,S22,S22,F2,F2,ordior,incipio,ordior ,incipio
72,p451_l14_o08,S22,S22,F2,F2,sortior,ĩ accipio,sortior ,accipio
73,p451_l21_o06,S22,S22,F3,F3,elitio,expͥmo /seduco,elicio ,extorqueo ł exprimo
