,lemma_id,gloss_type_VLO41,gloss_type_Lat14087,gloss_form_VLO41,gloss_form_Lat14087,lemma,gloss_VLO41,gloss_Lat14087
0,p450_l02_o04,S22,S22,F2,F2,enucleo,aperio,Nucleo. claudo
1,p450_l06_o07,S22,S22,F2,F2,fatuo ,desinio,fatuor hebesco
2,p450_l06_o09,S22,S22,F2,F2,liquor,soluor/ fluor,Liquor humor
3,p450_l26_o01,S22,S22,F3,F3,pio,purgo/mundo,Pio purgo placo
4,p451_l11_o04,S22,S22,F3,F3,insignio,orno/redimio,insignior. orno. nobilito
5,p451_l12_o02,S22,S22,F2,F2,Sopio,dormio,Sopio Dormio
6,p451_l12_o03,S22,S22,F2,F2,Ferio,ꝑcucio,Exsicco ł ferio
7,p451_l12_o07,S22,S22,F2,F2,Ligurrio,lango ł gusto.,Ligurrio deglutio
8,p451_l22_o06,S22,S22,F2,F2,fodio,ꝑforo,fodio ł colligo
9,p451_l23_o05,S22,S22,F2,F2,potior,utor,Potior fruor
10,p452_l16_o06,S22,S22,F3,F3,sacrifico,libo/aliqͣ  oblatio,libo sacrifico uel deglisto
11,p452_l21_o01,S22,S22,F2,F2,obsequor,obedio pareo,Obsequor famulor
12,p452_l22_o04,S23,S23,F3,F3,iusticium ,luctus publicus,Iustitum publicus luctus ł puiblici iuris silentũ
13,p453_l10_o11,S22,S22,F3,F3,marceo,defitio areo tabesco siue macior,Marceo. langueo. ł areo
14,p453_l20_o06,S22,S22,F3,F3,fluuidus,decurrens ł fluens,fluens decurrens solutus humor;
15,p453_l29_o08,S22,S22,F3,F3,efutilis,uacuus instabilis,Effutilis inutilis ł in stablis uanꝰ ł loquax; 
16,p453_l30_o04,S22,S22,F3,F3,cedo,paucior ãbulo / in,Cedo transigo conficio
17,p454_l17_o07,S23,S23,F4,F4,pronuba,mulier ꝗ disponit nuptias,ꝓnuba. quę nubentibus p̃÷ łquae utrũq c̃iugit;
18,p455_l30_o02,S22,S22,F2,F2,fultor,sustentator,Flutor sustentator
19,p457_l19_o02,S23,S23,F3,F3,nundine,mercata pubica,Nundinę loca mercati id ÷ argisteria.
20,p458_l05_o07,S22,S22,F3,F3,stomachor,irascor /ł  insanio,Stomachor . lacero . lrascor.
21,p458_l12_o02,S22,S22,F2,F2,integro,perfitio,integror. Reparo.
22,p458_l21_o06,S22,S22,F2,F2,ubero, abundo,Exuberor abundo
23,p458_l29_o09,S22,S22,F2,F2,testor,confirmo, Detestor abominor
24,p461_l10_o04,S22,S22,F3,F3,humo,sepelio/cooperio,Humo humi trado ł sepelio.
25,p462_l06_o07,S22,S22,F2,F2,uello,rũpo,Vello moueo
26,p462_l07_o05,S22,S22,F2,F2,nutrico,alo,Nt̃co iurgo
27,p463_l25_o02,S22,S22,F2,F2,meta,limes,M&a finis
28,p463_l25_o03,S22,S22,F2,F2,metor,t̃mino finio,termino finio
29,p465_l25_o11,S22,S22,F2,F2,polliceor,ꝓmitto,ꝓmitto polliceor. 
