lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_type,gloss_form_VLO41,gloss_form_Bamberg,gloss_form,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg,lemma,gloss
p447_l05_o06,S22,S22,S22,F2,F2,F2,auditorum,iđ discipulorũ,AVDITORVM ,discipulorũ,AVDITORṼ ,discipuloꝵ
p447_l07_o01,S22,S22,S22,F2,F2,F2,desiderat,cupit,desider& ,c̃cupiscat,desideret ,.s. audire
p447_l07_o03,S22,S22,S22,F2,F2,F2,recens,nouit(er),recens ,nouum,recens ,Nouũ
p447_l11_o06,S22,S22,S22,F2,F2,F2,romana,lat̃,romana ,latina,romana ,÷ latina
p447_l13_o03,S22,S22,S22,F3,F3,F3,instruitur,ordinatur /(et di)sponitur,instruit᷑ ,disponit᷑ ORDIN ͣ ͭ ͧ ͬ,instruit᷑ ,ordinat᷑ et disponit᷑
p448_l07_o01,S22,S22,S22,F2,F2,F2,inditia,signa,indicia ,signa,inditia ,signa
p448_l08_o05,S22,S22,S22,F2,F2,F2,terminalẽ,& finalem,t̃minalẽ ,finalẽ,terminalem ,finalem
p448_l14_o02,S22,S22,S22,F2,F2,F2,penitus,funditꝰ,penitꝰ ,radicitꝰ,penitꝰ ,Radicitꝰ
p448_l14_o04,S22,S22,S22,F2,F2,F2,incerta,&ãbigua,incerta ,dubia,incerta ,dubia
p448_l19_o01,S22,S22,S22,F2,F2,F2,anomalis ,inęqualib;,anomalis ,inęqualib,anomalis ,inęqualib; / s. uerbis
p448_l20_o08,S22,S22,S22,F2,F2,F2,aue,salue,aue ,salue,Aue ,salue
p448_l20_o09,S22,S22,S22,F2,F2,F2,ferit,qͣsi ꝑcutit,ferit ,ꝑcutit,Ferit ,ꝑcutit
p448_l20_o10,S22,S22,S22,F2,F2,F2,insit,dicit,infit ,inquit,Infit ,inꝗd
p449_l07_o01,S23,S23,S23,F3,F3,F3,lectito,frequent̃ lego,lectito ,frequent̃ lego,lectito ,ł lecto freq̃t̃ lego
p449_l17_o05,S22,S22,S22,F2,F2,F2,discerni,diuidi,discerni ,distingui,discernũ ,distinguo
p449_l20_o06,S22,S22,S22,F2,F2,F2,reboo,ĩ resono.,reboo ,resono,reboo ,resono
p449_l22_o06,S22,S22,S22,F2,F2,F2,reboantq;,&  resonant,reboant ,+,Reboant ,resonant
p449_l22_o06,S22,S22,S22,F2,F2,F2,reor ,estimo,reboant ,+,Reboant ,resonant
p449_l22_o06,S22,S22,S22,F2,F2,F2,reboantq;,&  resonant,reboant ,+,Reboant ,resonant
p449_l22_o06,S22,S22,S22,F2,F2,F2,reor ,estimo,reboant ,+,Reboant ,resonant
p449_l30_o04,S22,S22,S22,F2,F2,F2,taceo,sileo,taceo ,sileo,Taceo ,sileo
p449_l30_o10,S22,S22,S22,F2,F2,F2,stupeo,ãmiror,stupeo ,admiror,Stupeo ,admiror
p449_l31_o01,S22,S22,S22,F2,F2,F2,censeo,iudico,censeo ,iudico,Censeo ,iudico
p449_l31_o02,S22,S22,S22,F2,F2,F2,pateo,aperio,pateo ,aperio,Pateo ,aperio
p450_l01_o04,S22,S22,S22,F2,F2,F2,notandũ,excipiunt᷑,Notant᷑ ,excipiunt᷑,Notant᷑ ,excipiunt᷑
p450_l01_o09,S22,S22,S22,F2,F2,F2,creo,facio,creo ,c̃do,Creo ,condo
p450_l02_o03,S22,S22,S22,F2,F2,F2,nauseo,fastidio,nauseo ,fastidio,Nauseo ,fastidio
p450_l02_o05,S22,S22,S22,F2,F2,F2,laqueo,ligo,laqueo ,irr&io,Laqueo ,irretio
p450_l02_o06,S22,S22,S22,F2,F2,F2,screo,spuo,screo ,spuo,Screo ,spuo
p450_l05_o06,S22,S22,S22,F2,F2,F2,induo ,uestio,induo ,circũdo,Induo ,cirũdo
p450_l05_o11,S22,S22,S22,F2,F2,F2,alluo,perfu(ndo),alluo ,inundo,Alluo ,mundo
