folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,nature,marginal_note_id,marginal_note_type,marginal_note_form
71r,p447_l01_o00,EVTICII ,,,,,,p447_l01_o00_a,S54,F5
71r,p447_l05_o02,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,normal,,,
71r,p447_l05_o04,QVĘSTIONES ,p447_l05_o04_a,ꝓ positiones,S22,F2,normal,,,
71r,p447_l05_o05,DOCTORIBVS ,p447_l05_o05_a,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,S22,F2,shorthand,,,
71r,p447_l05_o06,AVDITORVM ,p447_l05_o06_a,discipulorũ,S22,F2,normal,,,
71r,p447_l05_o07,ACVTIora ,p447_l05_o07_a,peritiora astutiora /subtiliora VALᵈ ͤ <...?>/excellentiora,S22,F3,normal,,,
71r,p447_l05_o08,comouere ,p447_l05_o08_a,incitare,S22,F2,normal,,,
71r,p447_l06_o02,soleant ,p447_l06_o02_a,c̃suescant,S22,F2,normal,,,
71r,p447_l06_o03,ingenia ,,,,,,,,
71r,p447_l06_o05,curiositas ,p447_l06_o05_a,(a cora) sagax sollicitudo,S22,F2,normal,,,
71r,p447_l06_o06,humanę ,,,,,,,,
71r,p447_l06_o07,familiaris ,p447_l06_o07_a,adherens/ingenita (intꝰ genita) amica,S23,F3,normal,,,
71r,p447_l06_o08,naturę ,,,,,,,,
71r,p447_l07_o01,desider& ,p447_l07_o01_a,c̃cupiscat,S22,F2,normal,,,
71r,p447_l07_o03,recens ,p447_l07_o03_a,nouum,S22,F2,normal,,,
71r,p447_l07_o04,inexcusabilis ,p447_l07_o04_a,ineuitabilis,S22,F2,normal,,,
71r,p447_l07_o05,quodãmodo ,p447_l07_o05_a,aliquo modo,S22,F2,normal,,,
71r,p447_l08_o02,iurę ,p447_l08_o02_a,merito,S22,F2,normal,,,
71r,p447_l08_o03,uidetur ,p447_l08_o03_a,existimat᷑,S22,F2,normal,,,
71r,p447_l08_o04,imponi ,p447_l08_o04_a,dignũ ducit᷑,S23,F3,normal,,,
71r,p447_l08_o07,p&itionibus ,p447_l08_o07_a,postulationib,S22,F2,normal,,,
71r,p447_l08_o08,satisfaciens ,p447_l08_o08_a,oboediens,S22,F2,normal,,,
71r,p447_l09_o03,diligentissime ,p447_l09_o03_a,studiosissime,S22,F2,normal,,,
71r,p447_l09_o05,cratere ,p447_l09_o05_a,uocesca s̃,S553,F2,normal,,,
71r,p447_l09_o06,quẽ ,p447_l09_o06_a,SUBAUD ͥ ͭ ͧ ͬ te,S3232,F3,normal,,,
71r,p447_l10_o01,facundia ,p447_l10_o01_a,eloquentia,S22,F2,normal,p447_l10_o01_b,S22,F2
71r,p447_l10_o03,aequiperatẽ ,p447_l10_o03_a,assimilantẽ ꝓsequentẽ,S22,F3,normal,,,
71r,p447_l10_o04,maiores ,p447_l10_o04_a,priores,S22,F2,normal,,,
71r,p447_l11_o01,excellentes ,p447_l11_o01_a,EMIN ͤ ᷠ ͭ ͤ ᷤ SUBAUD ͥ ͭ ͧ ͬ ILL ͦ ᷤ IDEST MA ͥ ͦ ͬ ͧ ͫ TU ͦ ᷤ,S23,F4,shorthand,,,
71r,p447_l11_o05,superauisse ,p447_l11_o05_a,uicisse,S22,F2,normal,,,
71r,p447_l11_o06,romana ,p447_l11_o06_a,latina,S22,F2,normal,,,
71r,p447_l11_o07,opusculũ ,p447_l11_o07_a,libellũ hunc,S53,F3,normal,,,
71r,p447_l12_o02,discernendas ,p447_l12_o02_a,distinguendas,S22,F2,normal,,,
71r,p447_l12_o08,inclusi ,p447_l12_o08_a,cõp̃hendi,S22,F2,normal,p447_l12_o08_b,S22,F2
71r,p447_l12_o09,quorũ ,p447_l12_o09_a,sb̶ librorũ,S3232,F2,normal,,,
71r,p447_l13_o02,obseruationib; ,p447_l13_o02_a,regulis,S22,F2,normal,,,
71r,p447_l13_o03,instruit᷑ ,p447_l13_o03_a,disponit᷑ ORDIN ͣ ͭ ͧ ͬ,S22,F3,normal,,,
71r,p447_l13_o04,generalibus ,p447_l13_o04_a,cõmunib,S22,F2,normal,,,
71r,p447_l13_o06,indicio ,p447_l13_o06_a,agnitione,S22,F2,normal,,,
71r,p447_l13_o07,finalitatis ,p447_l13_o07_a,TERMINA ͭ ͥ ͦ ᷠ ͥ ᷤ,S22,F3,shorthand,,,
71r,p447_l14_o01,speciales ,p447_l14_o01_a,singulares PROP ͬ ͥ ͧ ͫ,S22,F3,normal,,,
71r,p447_l14_o02,exsequit᷑ ,p447_l14_o02_a,c̃seꝗt᷑ c̃tin&,S22,F3,normal,,,
71r,p447_l17_o02,quidem ,p447_l17_o02_a,causa ł c̃iunctio,S35,F3,normal,,,
71r,p447_l17_o07,species ,p447_l17_o07_a,significationes ł formę,S22,F3,normal,,,
71r,p447_l17_o08,Vna ,p447_l17_o08_a,PRO pͥma PON ͥ ͭ ͧ ͬ,S53,F4,normal,,,
71r,p447_l18_o01,carens ,p447_l18_o01_a,ñ habens,S23,F3,normal,,,
71r,p447_l18_o02,tenore ,p447_l18_o02_a,accentũ,S22,F2,normal,,,
71r,p447_l18_o05,barutonos ,p447_l18_o05_a,bari apud g̃cos dr̃ grauis tonos accentꝰ inde/baritonos id ÷ grauis accentus,S211,F4,normal,,,
71r,p447_l18_o07,eis ,p447_l18_o07_a,SUBAUD ͥ ͭ ͧ ͬ gręcis,S3232,F3,normal,,,
71r,p447_l18_o09,quę ,p447_l18_o09_a,sb̶ pͥma species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F4,normal,,,
71r,p448_l01_o05,ordinẽ ,,,,,,,,
71r,p448_l01_o06,sex ,,,,,,p448_l01_o06_a,S64,F4
71r,p448_l01_o08,significat ,p448_l01_o08_a,demonstrat,S22,F2,normal,,,
71r,p448_l01_o09,Alia ,p448_l01_o09_a,sb̶ species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F3,normal,p448_l01_o09_b,S53,F4
71r,p448_l02_o04,ꝓlata ,p448_l02_o04_a,enuntiata,S22,F2,normal,,,
71r,p448_l02_o06,eos ,p448_l02_o06_a,sb̶ gręcos,S3232,F2,normal,,,
71r,p448_l02_o08,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,
71r,p448_l04_o03,t̃tia ,p448_l04_o03_a,sb̶ species CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F4,normal,,,
71r,p448_l04_o10,t̃minatione ,p448_l04_o10_a,instu?cia que nobis uult,S53,F4,normal,,,
71r,p448_l04_o11,dicunt ,p448_l04_o11_a,sb̶ gręci,S415,F2,normal,,,
71r,p448_l05_o06,habent ,p448_l05_o06_a,sb̶ gręci,S415,F2,normal,,,
71r,p448_l06_o03,multis ,p448_l06_o03_a,SUBAUD ͥ ͭ ͧ ͬ regulis,S3232,F3,normal,,,
71r,p448_l06_o05,prorsus ,p448_l06_o05_a,omnino,S22,F2,normal,,,
71r,p448_l07_o01,indicia ,p448_l07_o01_a,signa,S22,F2,normal,,,
71r,p448_l07_o03,iterũ ,p448_l07_o03_a,SUBAUD ͥ ͭ ͧ ͬ VID ͤ ᷠ ͭ ͧ ͬ,S53,F2,normal,,,
71r,p448_l07_o05,penitꝰ ,p448_l07_o05_a,funditꝰ,S22,F2,normal,,,
71r,p448_l07_o06,omĩb; ,p448_l07_o06_a,sb̶ indiciis,S53,F2,normal,,,
71r,p448_l08_o02,uident᷑ ,p448_l08_o02_a,sb̶ latini,S415,F2,normal,,,
71r,p448_l08_o03,imitari ,p448_l08_o03_a,sequi,S22,F2,normal,,,
71r,p448_l08_o05,t̃minalẽ ,p448_l08_o05_a,finalẽ,S22,F2,normal,,,
71r,p448_l08_o08-09,in-plerisq; ,p448_l08_o08-09_a,in multis modis,S53,F3,normal,,,
71r,p448_l09_o01,habentes ,p448_l09_o01_a,illi latini,S415,F3,normal,,,
71r,p448_l09_o07-08,natura ,p448_l09_o07-08_a,ꝑ naturã,S22,F2,normal,,,
71r,p448_l10_o04,tenore ,p448_l10_o04_a,accentu,S22,F2,normal,,,
71r,p448_l10_o05,prorsus ,p448_l10_o05_a,PENI ͭ ͧ ᷤ,S22,F2,normal,,,
71r,p448_l11_o02,carent ,p448_l11_o02_a,sb̶ uerba,S53,F2,normal,,,
71r,p448_l12_o02,ostendentia ,p448_l12_o02_a,illa uerba,S53,F3,normal,,,
71r,p448_l13_o01,t̃minalis ,p448_l13_o01_a,FIN ͣ ᷝ ͥ ᷤ,S22,F2,shorthand,,,
71r,p448_l13_o03,qua ,p448_l13_o03_a,s̃ obseruationes,S3232,F2,normal,,,
71r,p448_l13_o04,dinosci ,p448_l13_o04_a,cͦgnosci,S22,F2,normal,,,
71r,p448_l13_o06-07,artiũ scriptores ,p448_l13_o06-07_a,artigraphi,S23,F2,normal,,,
71r,p448_l14_o01,romanos ,p448_l14_o01_a,latinos,S22,F2,normal,,,
71r,p448_l14_o02,penitꝰ ,p448_l14_o02_a,radicitꝰ,S22,F2,normal,,,
71r,p448_l14_o04,incerta ,p448_l14_o04_a,dubia,S22,F2,normal,,,
71r,p448_l14_o08,cogim᷑ ,p448_l14_o08_a,cõpellim᷑,S22,F2,normal,,,
71r,p448_l15_o02,t̃tię ,p448_l15_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F2,normal,,,
71r,p448_l15_o06,primę ,p448_l15_o06_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F2,shorthand,,,
71r,p448_l15_o08,cubo ,p448_l15_o08_a,IAC ͤ ͦ,S22,F2,shorthand,,,
71r,p448_l16_o09,possĩ ,p448_l16_o09_a,CONIUNCTI ͧ ͧ ᷤ MODUS,S333,F3,shorthand,,,
71r,p448_l18_o06,positionis ,p448_l18_o06_a,pͥmae ꝑsonae,S53,F3,normal,,,
71r,p448_l18_o08,c̃siderans. ,p448_l18_o08_a,c̃spiciens (PERSPICI?)  ͤ ᷠ ᷤ,S22,F3,normal,,,
71r,p448_l18_o09,Notatis ,p448_l18_o09_a,exceptis SEGREGA ͭ ͥ ᷤ,S22,F3,normal,,,
71r,p448_l19_o01,anomalis ,p448_l19_o01_a,inęqualib,S22,F2,normal,,,
71r,p448_l19_o06,plerũq ,p448_l19_o06_a,sedulo,S22,F2,normal,,,
71r,p448_l19_o10,analogię ,p448_l19_o10_a,c̃rationalitatis,S53,F3,normal,,,
71r,p448_l20_o02,possũ ,,,,,,p448_l20_o02_a,S24,F4
71r,p448_l20_o03,inquã ,p448_l20_o03_a,dico,S22,F2,normal,,,
71r,p448_l20_o04,cedo ,p448_l20_o04_a,dic,S22,F2,normal,,,
71r,p448_l20_o05,edo ,p448_l20_o05_a,COMED ͦ,S22,F2,shorthand,,,
71r,p448_l20_o06,faxo ,p448_l20_o06_a,facio ł ILLUMIN ͦ?,S22,F3,normal,,,
71r,p448_l20_o07,sodes ,p448_l20_o07_a,si audes,S25,F3,normal,,,
71r,p448_l20_o08,aue ,p448_l20_o08_a,salue,S22,F2,normal,,,
71r,p448_l20_o09,ferit ,p448_l20_o09_a,ꝑcutit,S22,F2,normal,p448_l20_o09_b,S54,F4
71r,p448_l20_o10,infit ,p448_l20_o10_a,inquit,S22,F2,normal,,,
71r,p448_l21_o03,ipsis ,p448_l21_o03_a,anomalis,S3232,F2,normal,,,
71r,p448_l21_o04,quędã ,p448_l21_o04_a,+,S3232,F2,shorthand,,,
71r,p448_l22_o03,oboedire ,p448_l22_o03_a,PAR ͤ ͬ ͤ ET sequi,S22,F3,normal,,,
71r,p448_l24_o01-02,hac ,p448_l24_o01-02_a,ista,S22,F2,normal,,,
71r,p448_l24_o03,ambiguitate ,p448_l24_o03_a,dubietate,S22,F2,normal,,,
71r,p448_l24_o06,tẽptabo ,p448_l24_o06_a,conabor nitare,S53,F3,normal,,,
71r,p448_l24_o07,qđ ,p448_l24_o07_a,VERB ͣ,S3232,F2,normal,,,
71r,p448_l24_o08,inchoatiua ,,,,,,p448_l24_o08_a,S23,F5
71r,p448_l25_o01,ꝗdem ,p448_l25_o01_a,VERB ͣ,S3232,F2,normal,,,
71r,p448_l26_o08,solũ ,p448_l26_o08_a,solũ modo,S53,F2,normal,,,
71r,p448_l27_o04,artigaphis ,p448_l27_o04_a,artiũ scriptorib,S23,F3,normal,,,
71v,p448_l27_o09,t̃tię ,,,,,,,,
71v,p448_l28_o02,hebesco ,p448_l28_o02_a,hebes fieri incipio,S23,F3,normal,,,
71v,p448_l28_o03,caluesco ,p448_l28_o03_a,caluus FI ͤ ͬ ͥ INCIPI ͦ,S23,F3,shorthand,,,
71v,p448_l28_o04,ꝑtimesco ,p448_l28_o04_a,ꝑtimere INCIPI ͦ,S23,F3,shorthand,,,
71v,p448_l28_o05,euanesco ,p448_l28_o05_a,uanꝰ INCIPI ͦ FI ͤ ͬ ͥ,S23,F3,shorthand,,,
71v,p449_l01_o04,labasco ,p449_l01_o04_a,labere ID EST CAD ͤ ͬ ͤ INCIPI ͦ,S23,F3,normal,p449_l01_o04_b,S54,F4
71v,p449_l01_o07,purpurasco ,,,,,,p449_l01_o07_a,S22,F3
71v,p449_l02_o04,glisco  ,p449_l02_o04_a,crescere INCIPI ͦ,S23,F3,normal,,,
71v,p449_l02_o07,meditatiua ,p449_l02_o07_a,VERB ͣ,S53,F2,shorthand,p449_l02_o07_b,S53,F5
71v,p449_l02_o10,solũ ,p449_l02_o10_a,?,S22,F2,shorthand,,,
