folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
72v,f72v_l01_o02,circũstantię ,,,,,f72v_l01_o02_a,S523,F5
73r,p447_l05_o01,VM ,p447_l05_o01_a,.s.  soleant,S36,F3,p447_l05_o01_b,S23,F5
73r,p447_l05_o02,SEMPER ,p447_l05_o02_a,ꝓ sepe,S22,F2,p447_l05_o02_b,S23,F5
73r,p447_l05_o04,QVESTIONES ,p447_l05_o04_a,÷ ꝓpositiones,S22,F2,p447_l05_o04_b,S631,F5
73r,p447_l05_o05,DOCTORIB ,p447_l05_o05_a,magistris p̃ceptorib,S22,F3,,,
73r,p447_l05_o06,AVDITORṼ ,p447_l05_o06_a,discipuloꝵ,S22,F2,,,
73r,p447_l05_o07,acutiora ,p447_l05_o07_a,"efficatiora ÷ ualde acuta, peritiora acutiora / excellentiora :",S22,F3,,,
73r,p447_l05_o08,commouere ,p447_l05_o08_a,suscitare incitare,S22,F3,,,
73r,p447_l06_o02,soleant ,p447_l06_o02_a,consuescant : / ł qđo in usu hñt / solescant,S22,F4,,,
73r,p447_l06_o03,ingenia ,,,,,p447_l06_o03_b,S54,F5
73r,p447_l06_o05,curiositas ,p447_l06_o05_a,.s. sagax sollicitudo,S22,F3,p447_l06_o05_b,S23,F5
73r,p447_l06_o06,humanę  ,,,,,p447_l06_o06_a,S23,F4
73r,p447_l06_o07,familiaris ,p447_l06_o07_a,ingenieta et adhęrens,S22,F3,,,
73r,p447_l06_o08,naturę ,,,,,,,
73r,p447_l06_o09,cotidie ,p447_l06_o09_a,quot dieb ł sẽꝑ,S22,F3,,,
73r,p447_l07_o01,desideret ,p447_l07_o01_a,.s. audire,S22,F2,,,
73r,p447_l07_o02,aliquid ,p447_l07_o02_a,.s. eũ ÷ cupiat,S3232,F3,,,
73r,p447_l07_o03,recens ,p447_l07_o03_a,Nouũ,S22,F2,,,
73r,p447_l07_o04,Inexcusabilis ,p447_l07_o04_a,ineuitabił sine excusatione,S22,F3,,,
73r,p447_l07_o05,quodammodo ,p447_l07_o05_a,qualicũqmodo ł aliquo modo,S22,F3,p447_l07_o05_b,S53,F5
73r,p447_l07_o07,necessitas ,p447_l07_o07_a,ab adũbio necesse,S54,F3,p447_l07_o07_b,S23,F4
73r,p447_l08_o01,preceptorib; ,p447_l08_o01_a,magistris doctorib,S33,F3,,,
73r,p447_l08_o02,iure ,p447_l08_o02_a,dignũ ducit᷑ / ÷ ratione cũ lege merito:,S32,F4,,,
73r,p447_l08_o03,uidetur ,p447_l08_o03_a,existimat᷑,S22,F2,,,
73r,p447_l08_o04,imponi ,p447_l08_o04_a,ab int̃rogari / tibi dimietę?,S23,F4,,,
