lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p447_l01_o00,02r,INCIPIT LIBER EVTI/CI GRAMMAT(I)CI /DE VERBO,,,,++++/de uer[bo] ++++/[bo]nus contextor ,S523,F4
p447_l05_o02,02r,semper,s. cũ frequentia,S23,F3,,,
p447_l05_o04,02r,nouas quaestiones,novẽ int̃rogaciones,S22,F3,,,
p447_l05_o05,02r,doctorib;,p̃ce<ptoribus>,S22,F2,,,
p447_l05_o06,02r,auditorum,iđ discipulorũ,S22,F2,,,
p447_l05_o07,02r,acutiora,perspicatiora,S22,F2,,,
p447_l05_o08,02r,cõmouere ,reperire et excitare ,S22,F2,,,
p447_l06_o02,02r,soleant,in queareniã honari?,S22,F3,,,
p447_l06_o05,02r,curiositas,qͣsi sollicitudo,S22,F2,,,
p447_l06_o07,02r,familiaris,ĩ specialit̃ ⁊ ꝓprie aderens,S23,F4,ĩ afinis & cognata,S22,F4
p447_l06_o09,02r,cotidie,s̃ hominis ?dãƀrũ operis,S23,F4,,,
p447_l07_o01,02r,desiderat,cupit,S22,F2,,,
p447_l07_o03,02r,recens,nouit(er),S22,F2,,,
p447_l08_o02,02r,iure,recte /adũ locũ qualitatis,S22,F3,,,
p447_l08_o04,02r,imponi,suꝑponi immitti,S22,F2,,,
p447_l09_o03,02r,diligentissime ,dilectissima,S22,F2,,,
p447_l09_o05,02r,Cratere,nom̃ ꝓpͥũ,S553,F3,,,
p447_l10_o01,02r,facundia,iđ doctrina /eloquentia,S22,F3,facundu᷑ uocit᷑ eo qđ facile fari/potest. for faris inde facundia.,S54,F4
p447_l10_o03,02r,equiperante,coęquantẽ,S22,F2,,,
p447_l11_o01,02r,excellentes,presũt ĩgentes,S22,F3,,,
p447_l11_o03,02r,gaudebam ,lętabar,S22,F2,,,
p447_l11_o04,02r,doctrina,eloquentia,S22,F2,,,
p447_l11_o05,02r,superauisse,suꝑ orauisse,S25,F3,,,
p447_l11_o06,02r,romana,lat̃,S22,F2,,,
p447_l12_o02,02r,discernendas,separandas,S22,F2,,,
p447_l12_o09,02r,quorum,s duorũ librorũ,S3232,F3,,,
p447_l13_o03,02r,instruitur,ordinatur /(et di)sponitur,S22,F3,,,
