               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098559,            0.088722,            0.044093,           0.0062732,              0.3578,             0.19853,            0.073043,            0.079682,            0.070099,            0.037133,            0.070566,           0.0032704,           0.0032704
                   1,            0.073588,            0.074968,            0.029452,             0.50012,             0.28067,             0.22525,            0.077822,            0.079073,            0.046781,            0.018559,            0.040435,            0.006473,            0.006473
                   2,            0.080163,            0.055023,            0.017795,             0.44355,             0.24012,             0.12617,            0.038679,             0.09448,            0.035361,            0.011812,            0.010173,           0.0095436,           0.0095436
                   3,            0.085659,            0.047585,            0.015797,             0.69224,              0.3433,             0.37984,             0.17214,            0.085985,            0.031044,            0.011553,            0.009406,            0.009406,            0.009406
                   4,            0.072932,            0.042388,            0.016537,              0.6858,             0.25845,             0.33024,             0.13581,            0.078599,            0.032232,           0.0089313,            0.009406,            0.009406,            0.009406
                   5,            0.063556,            0.042398,            0.014031,             0.70329,             0.35112,             0.40072,              0.1635,            0.064248,             0.03249,           0.0075743,            0.009208,            0.009208,            0.009208
                   6,            0.061142,            0.044759,            0.012232,             0.73224,             0.47706,             0.48153,             0.24496,            0.063443,            0.029222,           0.0062693,             0.00901,             0.00901,             0.00901
                   7,            0.053166,            0.039517,            0.011271,             0.44465,             0.67047,             0.60178,             0.34544,            0.050798,            0.029427,           0.0056285,            0.008812,            0.008812,            0.008812
                   8,            0.050164,            0.040499,           0.0092514,             0.47895,             0.62569,              0.4992,             0.21092,            0.052019,            0.029235,           0.0048688,            0.008614,            0.008614,            0.008614
                   9,            0.047825,            0.038913,           0.0085438,             0.57981,             0.70015,             0.67485,             0.38428,            0.048382,            0.029259,           0.0048092,            0.008416,            0.008416,            0.008416
                  10,            0.045962,             0.03979,           0.0093511,             0.48954,             0.73349,             0.59763,             0.33606,            0.048416,            0.029072,           0.0044679,            0.008218,            0.008218,            0.008218
                  11,            0.043196,            0.037881,           0.0074576,              0.6156,             0.64967,             0.68154,             0.35793,            0.046007,            0.029106,           0.0041414,             0.00802,             0.00802,             0.00802
                  12,            0.041541,             0.03928,            0.007225,             0.51848,             0.68349,             0.60326,             0.36909,            0.047355,            0.028046,           0.0043102,            0.007822,            0.007822,            0.007822
                  13,            0.041638,            0.037312,           0.0066474,             0.82427,             0.73043,             0.80298,             0.42279,            0.039144,             0.02898,           0.0042618,            0.007624,            0.007624,            0.007624
                  14,            0.038164,            0.035931,           0.0063905,              0.8226,             0.79572,             0.82476,             0.45323,             0.04096,            0.029498,           0.0038505,            0.007426,            0.007426,            0.007426
                  15,            0.038437,            0.034525,           0.0062775,             0.76805,             0.75081,             0.76992,             0.40981,            0.042274,            0.029049,           0.0033326,            0.007228,            0.007228,            0.007228
                  16,            0.035742,            0.036111,           0.0058499,             0.73653,              0.7664,             0.77144,             0.45386,            0.039212,            0.028922,           0.0034972,             0.00703,             0.00703,             0.00703
                  17,            0.034597,            0.032688,           0.0053305,              0.7962,             0.82462,             0.84435,             0.42383,             0.04183,            0.028972,           0.0035708,            0.006832,            0.006832,            0.006832
                  18,            0.033894,            0.033853,           0.0053985,             0.85368,             0.82324,              0.8593,              0.4643,            0.041425,            0.028743,           0.0034864,            0.006634,            0.006634,            0.006634
                  19,            0.034373,            0.035001,            0.005088,             0.85605,             0.78377,             0.81918,             0.47559,            0.037515,             0.02926,           0.0033943,            0.006436,            0.006436,            0.006436
                  20,            0.031574,            0.030424,           0.0046787,             0.86944,             0.78517,             0.81113,             0.48181,            0.038699,            0.029845,           0.0033648,            0.006238,            0.006238,            0.006238
                  21,            0.030863,            0.035235,           0.0042843,             0.73532,             0.82324,              0.7833,             0.47153,            0.035713,            0.029562,           0.0030908,             0.00604,             0.00604,             0.00604
                  22,            0.031107,            0.033991,           0.0037765,             0.80504,             0.83104,             0.81823,             0.50763,             0.03387,            0.029329,           0.0031809,            0.005842,            0.005842,            0.005842
                  23,             0.03007,            0.031426,           0.0041645,             0.81175,             0.84969,             0.83693,             0.50559,            0.032285,            0.028953,           0.0031048,            0.005644,            0.005644,            0.005644
