char,name,replacement,codepoint,mufidecode,ontographe,order
#r#l’,LATIN SMALL LETTER L WITH STROKE,?,,,l ,0
#r#s?,S STROKE TO Single letter,?,,,s,0
#r#s?,S STROKE TO Single letter,?,,,s,0
#r#\p{Greek},KeepGreek,#r#\p{Greek},,,#r#\p{Greek},MATENIA
Á,LATIN CAPITAL LETTER A WITH ACUTE,A,,,A,0
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,?,,,e,0
í,LATIN SMALL LETTER I WITH ACUTE,i,,,i,0
?,LATIN SMALL LETTER T WITH STROKE,t?,,,t,0
?,LATIN SMALL LETTER Y WITH DOT ABOVE,y,,,y,0
?,VERTICAL TILDE,?,,,er,
?,LATIN SMALL LETTER I WITH LATIN SMALL LETTER O ABOVE,i?,,,io,
?,COMBINING ACUTE ACCENT,?,,,?,
?,COMBINING RING ABOVE,?,,,o,
?,COMBINING TILDE,?,,,,
?,COMBINING MACRON,?,,,,
?,COMBINING UR ABOVE,?,,,ur,
?,COMBINING VERTICAL TILDE,?,,,er,
?,COMBINING ZIGZAG ABOVE,?,,,er,
?,COMBINING OVERLINE,?,,,,
?,COMBINING HOOK ABOVE,?,,,er,
?,COMBINING DOT ABOVE,?,307,,,
?,COMBINING LONG STROKE OVERLAY,?,336,,,
?,COMBINING CARON,?,030C,,,MATENIA
?,COMBINING COMMA ABOVE,?,313,,,MATENIA
?,COMBINING REVERSED COMMA ABOVE,?,314,,,MATENIA
?,COMBINING OGONEK,?,328,,,MATENIA
?,COMBINING GREEK PERISPOMENI,?,342,,,MATENIA
#r#\u0335,COMBINING SHORT STROKE OVERLAY,#r#\u0335,335,,,
_,LOW LINE,-,,,-,
-,HYPHEN-MINUS,-,,,-,
–,EN DASH,-,,,-,
",",COMMA,",",,,",",
;,SEMICOLON,:,,,;,
:,COLON,:,,,:,
!,EXCLAMATION MARK,,,,!,
?,QUESTION MARK,,,,?,
.,FULL STOP,.,,,.,
·,MIDDLE DOT,.,,,.,
',APOSTROPHE,',,,',
’,RIGHT SINGLE QUOTATION MARK,?,,,re,
,QUOTATION MARK,,,,,
“,LEFT DOUBLE QUOTATION MARK,,,,,
”,RIGHT DOUBLE QUOTATION MARK,,,,,
«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,,,,,
»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,,,,,
(,LEFT PARENTHESIS,,,,(,
),RIGHT PARENTHESIS,,,,),
[,LEFT SQUARE BRACKET,,,,[,
],RIGHT SQUARE BRACKET,,,,],
§,SECTION SIGN,?,,,§,
¶,PILCROW SIGN,¶,,,¶,
?,REVERSED PILCROW SIGN,¶,,,?,
*,ASTERISK,*,,,*,
/,SOLIDUS,/,,,/,
&,AMPERSAND,&,,,&,
?,TIRONIAN SIGN ET,?,,,et,
#,NUMBER SIGN,,,,#,
#r#[0-9],All arabic digits,#r#[0-9],,,0,
#r#[a-zA-Z],All latin letters (maj and caps),#r#[a-zA-Z],,,,
•,BULLET,.,,,.,
°,DEGREE SIGN,?,,,o,
+,PLUS SIGN,+,,,+,
÷,DIVISION SIGN,÷,,,est,
<,LESS-THAN SIGN,,,,<,
=,EQUALS SIGN,=,,,=,
¬,NOT SIGN,¬,,,,
?,HOMOTHETIC,÷,,,est,
?,DOT OPERATOR,.,,,.,
??,COMBINING GRAVE ACCENT,??,,,,
`,GRAVE ACCENT,??,,,,
??,COMBINING DIAERESIS,??,,,,
??,COMBINING CEDILLA,??,,,¸,
??,COMBINING DOT BELOW,,,,,
??,COMBINING LATIN SMALL LETTER N,?,,,n,
??,COMBINING LATIN SMALL LETTER V,?,,,v,
$,DOLLAR SIGN,,,,,
?,SUPERSCRIPT NINE,?,,,us,
?,COMBINING LATIN SMALL LETTER A,?,,,a,
?,MODIFIER LETTER SMALL A,?,,,a,
?,COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE,?,,,a,
?,LATIN SMALL LETTER ALPHA,a,,,a,
?,LATIN SMALL LETTER B WITH ACUTE,b?,E444,b,,
?,COMBINING LATIN SMALL LETTER C,?,,,c,
?,LATIN SMALL LETTER D WITH DOT BELOW,d,,,d,
?,LATIN SMALL LETTER INSULAR D,d,,,d,
?,COMBINING LATIN SMALL LETTER E,?,,,e,
?,MODIFIER LETTER SMALL E,?,,,e,
?,LATIN CAPITAL LETTER CLOSED E UNCIAL FORM,E,,,E,
?,LATIN SMALL LIGATURE FF,ff,,,ff,
?,LATIN SMALL LIGATURE FL,fl,,,fl,
?,LATIN SMALL LETTER H WITH STROKE,?,,,h,
?,COMBINING LATIN SMALL LETTER I,?,,,i,
?,SUPERSCRIPT LATIN SMALL LETTER I,?,,,i,
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,?,,,i,
?,LATIN SMALL LETTER DOTLESS I,i,,,i,
?,LATIN SMALL LETTER DOTLESS J,j,,,j,
?,LATIN SMALL LETTER L WITH STROKE,?,,,l,
?,COMBINING LATIN SMALL LETTER L,?,1DDD,l,,
?,COMBINING LATIN SMALL LETTER M,?,,,m,
?,COMBINING LATIN SMALL LETTER O,?,,,o,
?,MODIFIER LETTER SMALL O,?,,,o,
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,õ,,,o,
?,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,?,,,p,
?,LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER,?,,,p,
?,LATIN SMALL LETTER P WITH FLOURISH,?,,,p,
?,LATIN CAPITAL LETTER P WITH FLOURISH,?,,,p,
?,LATIN SMALL LETTER Q LIGATED WITH R ROTUNDA,qr,E8B3,qr,,MATENIA
?,LATIN SMALL LETTER Q WITH DIAGONAL STROKE,?,,,q,
?,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER,?,A757,q,,
?,LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE,?,A758,Q,,
?,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER AND TILDE,??,E68B,q,,
?,COMBINING LATIN SMALL LETTER R,?,,,r,
?,COMBINING LATIN SMALL LETTER R ROTUNDA,?,,,r,
?,LATIN SMALL LETTER R ROTUNDA,r,,,r,
?,LATIN SMALL LETTER R WITH LONG LEG,r,,,r,
?,LATIN SMALL LETTER RUM,?,A775,r,,
?,LATIN SMALL LETTER RUM ROTUNDA,?,A75D,r,,MATENIA
?,MODIFIER LETTER SMALL S,?,,,s,
?,COMBINING LATIN SMALL LETTER S,??,,,s,
?,LATIN SMALL LETTER LONG S,s,,,s,
?,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE,?,,,s,
?,COMBINING LATIN SMALL LETTER T,?,,,t,
?,COMBINING LATIN SMALL LETTER U,?,,,u,
?,LATIN SMALL LETTER U WITH TILDE,?,,,u,
?,COMBINING LATIN SMALL LETTER X,,036F,x,,
?,LATIN SMALL LETTER Y WITH TILDE,y,,,y,
?,LATIN SMALL LETTER Z WITH CURL,z,,,z,
?,LATIN SMALL LETTER EZH WITH TAIL,z,,,z,
?,COMBINING US ABOVE,?,,,us,
?,LATIN SMALL LETTER CON,?,,,con,
?,MODIFIER LETTER US,?,,,us,
?,MODIFIER LETTER GLOTTAL STOP,,,,,
?,ARMENIAN SMALL LETTER KEH,?,,,p,
?,LATIN SMALL LETTER N WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER),n?,,,n,
?,LATIN SMALL LETTER P WITH MACRON,p?,,,p,
?,LATIN SMALL LETTER Q WITH MACRON,q?,,,q,
?,COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),?,,,,
?,COMBINING LATIN SMALL LIGATURE AR,?,,,ar,
',LATIN SMALL LETTER LONG S DESCENDING,s,,,s,
(,LATIN SMALL LETTER S CLOSED FORM,s,,,s,
X,LATIN ABBREVIATION SIGN SMALL ET WITH STROKE,?,,,et,
?,LATIN SMALL LETTER ET,?,A76B,et,,MATENIA
a,PUNCTUS ELEVATUS,;,,,;,
¦,LATIN ABBREVIATION SIGN SPACING BASE-LINE US,?,,,us,
§,LATIN ABBREVIATION SIGN CAPITAL ET WITH STROKE,?,,,ET,
¬,LATIN ABBREVIATION SIGN SEMICOLON,¬,F1AC,;,,
?,LATIN ABBREVIATION SIGN AUTEM,?,E8A3,autem,,MATENIA
#r#\uFEFF,ZERO WIDTH NO-BREAK SPACE,,,,,
#r#\u200B,ZERO WIDTH SPACE,,,,,
C,WEIRD ZIG ZAG DIVIDING SIGN,÷,,,est,
\,REVERSE SOLIDUS,,005C,\,,
|,VERTICAL LINE,,007C,,,
?,LATIN SMALL LETTER D WITH STROKE,?,111,d,,
?,DOTTED CIRCLE,,25CC,*,,
`,PUNCTUS INTERROGATIVUS,:,F160,!,,
{,LEFT CURLY BRACKET,,007B,{,,MATENIA
},RIGHT CURLY BRACKET,,007D,},,MATENIA
?,LATIN SMALL LETTER B WITH STROKE,,180,b,,
?,GEORGIAN PARAGRAPH SEPARATOR,:,10FB,,,MATENIA
æ,THREE DOTS WITH COMMA POSITURA,",",F1E6,",",,MATENIA
ð,PUNCTUS ELEVATUS DIAGONAL STROKE,:,F1F0,;,,MATENIA
ò,TWO DOTS OVER COMMA POSITURA,",",F1F2,",",,MATENIA
?,LATIN SMALL LETTER IS ,,A76D,is,,MATENIA
?,LATIN SMALL LETTER REVERSED C,,2184,antistigma,,MATENIA
^,CIRCUMFLEX ACCENT,,005E,macron,,MATENIA
?,LATIN LETTER SMALL H,,029C,autem,,MATENIA
? ,MODIFIER LETTER SMALL D,,1D48,d,,MATENIA
?,MODIFIER LETTER SMALL B,,1D47,b,,MATENIA
>,GREATER_THAN SIGN,,003E,,,MATENIA
